sentence,fuel,machine,others,part,price,service
fortuner kok boros banget ya tiap hari harus isi bensin tapi selain itu oke semua sih .,negative,neutral,positive,neutral,neutral,neutral
serfis di bengkel remsi mitsubishi dengan layanan service quick pit cepet tepat dan mudah,neutral,neutral,neutral,neutral,neutral,positive
"Toyota Rush ini gagah dan tetap nyaman dikendarai laki-laki atau perempuan , tua atau muda .",neutral,neutral,positive,neutral,neutral,neutral
"tapi soal keamanan rush juara nya , karena dia sdh punya 7 Airbag , dia ada sensor parkir blakang juga . Dan jujur untuk konsumsi BBM juara",positive,neutral,neutral,positive,neutral,neutral
"terus kalau sambil mengerem , HRV ini bisa kayak ada besi beradu terus di pedal berasa banget gesekan nya .",neutral,neutral,neutral,negative,neutral,neutral
"CHR Harga nya enggak masuk akal , mending CRV turbo",neutral,neutral,neutral,neutral,negative,neutral
"beli xenia murah meriah , dapat vvti plus macam-macam , enak juragan .",neutral,neutral,neutral,neutral,positive,neutral
@astrahondacare keciwa sama pelayanann begkel resmi honda yang di balarjaa lebih tepat nya di depn gerbang permata balaraja servis mhal dikira makin bagus eh malah kebalikan nya,neutral,neutral,neutral,neutral,neutral,negative
"Kalau mau servis motor ke ahass saja . CS ramah , teknisi qualified dan waiting room nya cozy banget loh . Gak rugi !",neutral,neutral,neutral,neutral,neutral,positive
servis na payah masa mobul udah 3 bulan di bengkel belum bener-bener kecewa sam toyota,neutral,neutral,neutral,neutral,neutral,negative
"menurut saya , untuk sekarang ini hanya mobilio yang punya kelebihan di tenaga mesin",neutral,positive,neutral,neutral,neutral,neutral
Sejauh ini alhamdulillah enggak ada masalah selama pemakaian Honda Sonic 150r.,neutral,neutral,positive,neutral,neutral,neutral
fortuner mahal tetapi mnim fitur keamanan,neutral,neutral,neutral,negative,negative,neutral
"VRZ , spons jok nya panas saat duduk lama",neutral,neutral,neutral,negative,neutral,neutral
cuma nunggu sejam udah bener mantap kali service dari nissan,neutral,neutral,neutral,neutral,neutral,positive
"Selama saya memakai scoopy , saya enggak pernah merasa cemas . kenapa demikian , soal nya scoopy enggak pernah mengecewakan saya , scoopy sudah irit , gesit , mesin enggak rewel , sparepart gampang dicari , bagasi nya luas , nyaman banget dipakai perjalanan jauh karena jok nya lebar , interior nya juga enggak kalah menarik dari motor-motor lain .",positive,positive,positive,positive,neutral,neutral
Fortuner kaya om om . Klo pajero sport sih cocok buat anak muda sekarang cocok buat tanjakan men,neutral,positive,positive,neutral,neutral,neutral
Bagus juga wuling formo ini dijadikan mobil harian .,neutral,neutral,positive,neutral,neutral,neutral
"Sedikit kecewa nih gue beli XeLi , enggak dapat bonus cuma diskon saja 4 juta , lihat di atas-atas banyak yang dapat bonus .",neutral,neutral,negative,neutral,neutral,neutral
suka sama after sales serice nya nisaan yang murah,neutral,neutral,neutral,neutral,neutral,positive
sama kayak brio saya juga sudah 3 tahun pakai enggak ada masalah .,neutral,neutral,positive,neutral,neutral,neutral
"Enggak menyesal beli nya walaupun harga nya mahal , sesuailah . pokok nya saya cinta Love Nmax",neutral,neutral,positive,neutral,negative,neutral
"fortuner lemah di nanjak , model muka kuno , model dasboard tua , terkesan kurang dinamis",neutral,negative,neutral,negative,neutral,neutral
avanza kalau lagi high speed 100 kpj / 3000 rpm suara mesin sudah masuk ke kabin .,neutral,negative,neutral,neutral,neutral,neutral
menurut saya mobil paling kencang itu Avanza dan xenia,neutral,neutral,positive,neutral,neutral,neutral
"Xenia ini material nya enggak begitu bagus ,",neutral,neutral,neutral,negative,neutral,neutral
punya kakk saya hrv nya kursi nya berjamr,neutral,neutral,neutral,negative,neutral,neutral
brio emang didesain untuk mahasiswa stylihs dan minimalis,neutral,neutral,neutral,positive,neutral,neutral
"Tapi orang indonesia itu tetap mikir layanan purnajual , jelas toyota menang telak di sektor ini .",neutral,neutral,neutral,neutral,neutral,positive
secara keseluruhan ini HRV oke lah .,neutral,neutral,positive,neutral,neutral,neutral
Padahal CX3 menurut saya adalah hasil desain Mazda yg paling oke,neutral,neutral,neutral,positive,neutral,neutral
Honda Vario 125 sangat irit sekali dibanding motor merek lain .,positive,neutral,neutral,neutral,neutral,neutral
"Kalo dana agak mepet , mending ambil New Ertiga",neutral,neutral,neutral,neutral,positive,neutral
"Avanza saja pak harga jual paling mantap , muat banyak , cara toyota gitu lo cuma sayang nya kemungkinan akan naik + / - 3,4 juta",neutral,neutral,neutral,positive,positive,neutral
"HRV Mobil idaman banget sih dari dulu , mana lagi suara nya buat hati si eneng meleleh",neutral,positive,positive,neutral,neutral,neutral
"Daihatsu New Ayla bodi nya ciamik banget , begitu sporty .",neutral,neutral,neutral,positive,neutral,neutral
Terios paling gagah . Apalagi warna merah metalic !,neutral,neutral,positive,positive,neutral,neutral
"gue pakai mobilio . menurut gue , bener fun to drive , enak dipakai nya .",neutral,neutral,positive,neutral,neutral,neutral
ya walaupun memiliki desain sporty kalau tingkat kenyamanan mobil berkurang juga berkurang kan,neutral,neutral,negative,positive,neutral,neutral
Xpander laku keras di pasar Indonesia .,neutral,neutral,positive,neutral,neutral,neutral
"Kalau mau segala enak pakai Avanza saja , mas .",neutral,neutral,positive,neutral,neutral,neutral
kalau untuk mahasiswa lebih baik pake vario saja,neutral,neutral,positive,neutral,neutral,neutral
Nyaman banget pakai Toyota Rush .,neutral,neutral,positive,neutral,neutral,neutral
"Xpander enak banget sih dipakai nya , selalu di hati pokok nya .",neutral,neutral,positive,neutral,neutral,neutral
aku sih sudah nyamn dengan vario,neutral,neutral,positive,neutral,neutral,neutral
Scoopy sangat mendukung mobilisasi ku setiap hari nya .,neutral,neutral,positive,neutral,neutral,neutral
"Puas banget deh pakai Spacy mah , meski sudah tidak produksi .",neutral,neutral,positive,neutral,neutral,neutral
Mini Cooper paling cakep di antara yang lainnya .,neutral,neutral,positive,neutral,neutral,neutral
Secara keseluruhan kecewa dengan Grandmax .,neutral,neutral,negative,neutral,neutral,neutral
Sumpah Suzuki Carry alay banget sih .,neutral,neutral,negative,neutral,neutral,neutral
Bangga nih kalau pakai Xpander .,neutral,neutral,positive,neutral,neutral,neutral
"Honda Brio jelek , aku menyesal membeli nya .",neutral,neutral,negative,neutral,neutral,neutral
Senang nya pakai Toyota Rush .,neutral,neutral,positive,neutral,neutral,neutral
Sayang banget deh sama si kecil Calya .,neutral,neutral,positive,neutral,neutral,neutral
"Agak menyesal beli Toyota C - HR , tidak sesuai bayangan ku .",neutral,neutral,negative,neutral,neutral,neutral
Jadi bangga gini euy kalo pakai Alphard mah haha,neutral,neutral,positive,neutral,neutral,neutral
"Saya pakai nissan livina x gear 2009 sampai pemakaian 98.000 jarang rewel mesin nya , kaki-kaki masih nyaman bantingan masih oke",neutral,positive,neutral,positive,neutral,neutral
saya pakai grand livina tetapi ngelitik terus mesin nya padahal sudah tune up lebih dari 3x . pakai shell terus enggak pernah premium .,neutral,negative,neutral,neutral,neutral,neutral
"saya pengguna livina zaman dulu tahun 2008 xv 1.8 , alhamdulillah sampai sekarang enggak ada problem ngelitik mesin nya . lari enak .",neutral,positive,neutral,neutral,neutral,neutral
"Nissan Grand Livina tarikan lambat , isi 7 penumpang rada amblas .",neutral,negative,neutral,neutral,neutral,neutral
"Yamaha Vega Force , motor berpedal bandel nan irit . Teman yang cocok mengisi aktivitas & kesibukan mu sobat",positive,positive,neutral,neutral,neutral,neutral
"jadi pengin Beli Honda Win100 , si honda bandel , irit , bisa untuk segala medan , khusus nya medan Kaligawe yang cukup ekstrem , cocok bangetlah buat pekerja keras .",positive,positive,positive,neutral,neutral,neutral
"Bingung dahulu mau beli motor apa yang irit , body enak dilihat , mesin bandel dan enggak gampang rusak untuk berangkat pulang kerja sama untuk kerja ojek daring , tetapi pas ada teman yang menyarankan beli honda scoopy semua kegelisahan teratasi saat ini :D",positive,positive,neutral,positive,neutral,neutral
Mesin vario 125 memang paling gesit di antara yang lainnya .,neutral,positive,neutral,neutral,neutral,neutral
Mesin halus spontan bbm irit gaya enggak ketinggalan . Terima kasih kalau pengalaman saya enggak sama dengan pemakai vario 125 esp enggak sama mohon dimaafkan .,positive,positive,neutral,positive,neutral,neutral
"Vario sangat top untuk motor harian , irit di bahan bakar sangat nyaman saat dipakai jarak jauh maupun jarak dekat .",positive,neutral,positive,neutral,neutral,neutral
Honda Vario 125 tenaga besar lebih cepat irit lagi motor selalu stabil ke jalanan yang kecil juga lebih mudah di jalan lebar lebih gesit,positive,positive,neutral,neutral,neutral,neutral
gila sih mobilio mesin nya sring banget ngadat,neutral,negative,neutral,neutral,neutral,neutral
"Xpander mesin nya ngegeber terus bang , ngeri dah saya .",neutral,negative,neutral,neutral,neutral,neutral
"Daihatsu Xenia mesin nya sering turun , kampung !",neutral,negative,neutral,neutral,neutral,neutral
Temen saya kemarin mesin mobil nya meledak dong . Dia pakai Xenia .,neutral,negative,neutral,neutral,neutral,neutral
"Honda Brio kecil , tapi kok enggak gesit ya mesin nya .",neutral,negative,neutral,neutral,neutral,neutral
"Sudah bertahun-tahun pakai Xexi 2009 , mesin nya masih halus banget .",neutral,positive,neutral,neutral,neutral,neutral
"Mobil Xpander saya kok suara mesin nya berisik banget , ya .",neutral,negative,neutral,neutral,neutral,neutral
"Toyota Calya mesin nya alus banget , gesit pula .",neutral,positive,neutral,neutral,neutral,neutral
Daihatsu Alya kurang tangguh nih mesin nya .,neutral,negative,neutral,neutral,neutral,neutral
"saya punya GL XV AT 2012 , saya pribadi sangat mengapresiasi dengan after sales services - nya pihak nissan yang bagus .",neutral,neutral,neutral,neutral,neutral,positive
"fu150 tahun 2014 perawatan murah , lari termasuk lincah dan enak saat macet , lubang kecil apa pun masuk .",neutral,positive,positive,neutral,neutral,positive
honda spacy praktis cocok dalam perjalanan anda . ekstra boks yang mantap . Mudah perawatan dan suku cadang yang memadai . mantap tarikan nya halus suara nya .,neutral,positive,positive,positive,neutral,positive
Masalah nopol Mohon dipercepat motor Scoopy saya mas . Masalah nya dari tanggal 14 Desember motor datang . Sampai hari ini tanggal 11 Januari pelat nya enggak datang-datang juga . kata nya paling lama 15 hari kerja .,neutral,neutral,neutral,neutral,neutral,negative
"Honda Vario tenaga oke , bengkel resmi banyak sekali sampe di daerah , sparepart banyak , purnajual bagus .",neutral,positive,neutral,positive,positive,positive
