No;answer;1-FR;2-GI;3-PI;4-DM;5-EDTRB;6-RE;;;;;;;;;;;;;;;;;
1;Halo Rizal,Radang tenggorokan umunya disebabkan karena infeksi. Infeksi tersebut dapat oleh virus ataupun bakteri.  Jika karena bakteri umumnya memerlukan antibiotika. Jika karena virus maka tidak perlu antibiotika dan hanya memerlukan pengobatan suportif untuk mennjang kekebalan tubuh.Penanganan secara umum :   Pastikan anda cukup istirahat   Jangan makan makanan berminyak, gorengan, pedas   Makan makanan bergizi   Wajib minum banyak air putih   Berkumurlah dengan air garam (cukup 1/3-1/2 sdk teh untuk 200 cc air) tiap 3-4 jam sekali   Nyeri dan demam dapat dikurangi dengan parasetamol atau ibuprofen   Jika diperlukan dokter dapat meresepkan anda dengan antibiotika dan antiradang Obat yang anda sampaikan sudah merupakan obat yang umum dipakai pada radang tenggorokan. Amoksisilin merupakan antibiotika, hanya bermanfaat pada kasus yang disebabkan oleh infeksi bakteri, penambahannya umumnya tidak berbahaya kecuali jika nada alergi dengan amoksisilin tetapi sebaiknya konsultasikan dulu dengan dokter anda karena penggunaan antibiotik sembarangan akan memicu terjadinya resistensi/kekebalan kuman terhadap antibiotik. sakit tenggorokan demikian yang dapat saya sampaikan ,semoga bermanfaat.;1;0;1;1;1;0;;;;;;;;;;;;;;;;;
2;Halo Hellas,Cacar air merupakan suatu penyakit yang disebabkan oleh virus  varisela.  Penyakit ini biasanya menyerang anak-anak dibawah umur 10 tahun dengan gejala sebagai berikut :   Timbulnya ruam kemerahan pada tubuh   Demam   Pegal-pegal   Sakit kepala   Kelelahan Biasanya tidak diperlukan penanganan khusus pada kasus ini dikarenakan virus ini akan hilang dengan sendirinya (biasanya dapat memakan waktu 7-14 hari). Obat-obatan yang biasa dipakai adalah obat penurun panas seperti paracetamol atau iburofen. Dokter juga dapat memberikan obat antivirus seperti  acyclovir  untuk mempercepat kesembuhan. Namun acyclovir bukan merupakan obat bebas sehingga diperlukan resep dari Dokter untuk mendapatkannya.Berikut hal-hal yang dapat dilakukan :   Minum obat penurun panas   Istirahat yang cukup   Minum air putih yang cukup agar terhindar dari dehidrasi   Berolahraga secara teratur   Mengkonsumsi makanan yang sehat dan bergizi untuk menjaga daya tahan tubuh Untuk mengetahui lebih lanjut mengenai cacar air, silahkan baca artikel berikut : Cacar Air Semoga bermanfaat,Dr. Nugraha Mauluddin;1;0;1;1;1;0;;;;;;;;;;;;;;;;;
3;Halo Rory.......Terimakasih atas pertanyaan Anda.Perlu Anda ketahui sebelumnya bahwa semua gangguan yang terjadi pada kulit harus dilakukan serangkaian pemeriksaan SECARA LANGSUNG untuk memastikan diagnosis nya.Kondisi yang Anda alami dapat disebabkan oleh berbagai macam hal, diantaranya sebagai berikut ini :   Eksim   Kudis   Kulit kering / xerosis   Reaksi alergi dan iritasi   Gigitan serangga atau parasit   Kondisi psikologis   dll. Cobalah cara - cara berikut ini untuk mencegah gatal pada kulit kembali yaitu jaga kebersihan tubuh dengan mandi minimal 2 kali sehari, hindari makanan pedas dan konsumsi kafein, gunakan sprei dengan bahan yang tidak panas dan bersih, kelola stress psikologis, oleskan losion pada tubuh setelah mandi untuk menjaga kulit tetap lembap, dll.Jika kondisi ini terus menghampiri dan semakin memburuk, maka segeralah kunjungi Dokter Spesialis Kulit agar dilakukan serangkaian pemeriksaan lebih lanjut sehingga penyebab pasti dari keluhan Anda ditemukan dan penanganan yang optimal dapat diberikan.Klik artikel dibawah ini untuk lebih jelasnya : GATAL PADA KULIT Demikian penjelasan yang dapat kami sampaikan, semoga bermanfaat.Salam,Dr. Jati;1;0;1;1;1;0;;;;;;;;;;;;;;;;;
4;Alo AfriYani, Terimakasih atas pertanyaannya. Kuku ibu jari kaki yang menghitam pasca menggunakan sepatu sempit bisa jadi menandakan adanya perdarahan di bawah kuku Anda yang membeku sehingga berwarna lebih gelap. Bila kondisi ini ringan, seringnya memang gejala akan membaik dengan sendirinya tanpa perlu penanganan khusus. Namun, jika kaki Anda justru bernanah, artinya kuku Anda terinfeksi. Selain karena jaringan yang mati akibat penggunaan sepatu sempit, infeksi ini bisa juga masuk ke kulit bawah kuku akibat adanya kuku yang menjorok masuk ke kulit ( cantengan , paronikia), kebersihan diri yang kurang terjaga, atau luka lain di kulit (seperti pasca digigit serangga, digaruk berlebihan, atau kontak dengan benda tajam lainnya). Infeksi pada kuku dan jari kaki ini tidak hanya bisa menyebabkan kuku kaki menghitam dan bernanah, namun juga akan terasa nyeri, bengkak, kemerahan, bahkan menyebabkan penderitanya demam dan menggigil. Kondisi Anda perlu diperiksakan langsung ke dokter atau  dokter bedah . Biasanya, di samping memberi Anda obat, dokter bisa juga membersihkan nanah dan jaringan mati di kuku dan jari Anda, bahkan melakukan tindakan pembedahan, misalnya untuk mengangkat sebagian atau seluruh kuku yang bermasalah. Dengan begitu, risiko infeksi di kuku untuk menyebar ke jaringan lain pun bisa diminimalisasi. Sebelum diperiksakan ke dokter, kami tidak menyarankan Anda memberi sembarang penanganan atas kuku dan ibu jari kaki Anda. Lebih baik, atasi dulu keluhan Anda dengan: Rajin mencuci kaki dengan sabun antiseptik Tidak lagi mengenakan sepatu sempit Tidak memotong kuku terlalu pendek Kompres kaki yang menghitam dengan air hangat Jangan sembarangan menusuk atau memencet kuku dan ibu jari kaki yang bermasalah Semoga membantu ya..;1;0;1;1;1;0;;;;;;;;;;;;;;;;;
5;Halo,Telinga berdenging atau  tinitus  merupakan suatu sensasi pendengaran yang mendengar suara berdenging, yang disebabkan oleh gangguan pada pembuluh darah sekitar telinga, ataupun juga dapat disebabkan oleh penurunan fungsi saluran pendengaran. Vertigo  adalah suatu kondisi dimana pasien yang mengalami vertigo merasakan pusing yang disertai dengan sensasi berputar. Kelainan ini disebabkan oleh karena adanya gangguan pada sistem keseimbangan tubuh, yang dapat terjadi pada otak maupun organ keseimbangan pada telinga bagian dalam. Penyebab vertigo Jika terdapat gejala vertigo disertai dengan telinga yang berdenging, terdapat kemungkinan mengarah pada penyakit Meniere. Terdapat trias pada penyakit Meniere, yaitu:   Vertigo   Tinitus   Tuli sensorineural terutama nada rendah Pada penyakit Meniere, saat terjadi serangan pertama, pasien merasakan vertigo yang sangat berat disertai dengan muntah hebat. Hal ini dapat berulang dalam beberapa hari setelahnya, dan berangsur membaik dengan sendirinya. Pada serangan berikutnya, keluhan yang dirasakan lebih ringan daripada serangan pertama.Penanganan tinitus, bertujuan untuk mengatasi penyebab tinitus, dan mengurangi keparahan tinitus itu sendiri. Jika sudah diketahui penyebabnya, maka lebih mudah untuk melakukan penanganan tinitus.Penanganan vertigo, pada dasarnya dilakukan untuk mengurangi keluhan yang dirasakan, untuk mengurangi sensasi berputar, mual dan juga muntah yang dapat mengganggu aktivitas harian.Pada penyakit Meniere, dapat diberikan obat-obatan vasodilator perifer untuk mengurangi tekanan ada organ keseimbangan didalam telinga. Obat Benocetam tersebut juga dapat diberikan, yang bertujuan untuk suplemen dan pelindung jaringan saraf.Untuk mengetahui penanganan yang tepat sesuai dengan kondisi Anda, ada baiknya Anda teratur memeriksakan diri dan berkonsultasi dengan dokter ahli THT. Dokter akan melakukan pemeriksaan, kemudian barulah menentukan penanganan yang tepat sesuai dengan kondisi Anda. Jangan sungkan untuk konsultasi dengan dokter Anda ya. Penanganan vertigo secara mandiri Demikian informasi yang dapat saya sampaikan, semoga bermanfaat.dr. Agatha;1;0;1;1;1;0;;;;;;;;;;;;;;;;;
6;Ali Lia Manis terimakasih telah bertanya dengan Alodokter. Dokter memerlukan informasi tambahan mengenai keluhan yang anda rasakan seperti, berapa usia anda, sudah berapa lama keluhan tersebut anda rasakan, apakah terasa perih atau perasaan tidak nyaman di daerah uluhati, apakah ada nyeri pada perut, apakah menggunakan alat kontrasepsi, apakah ada gangguan atau keterlambatan datang bulan / haid ? Beberapa hal yang dapat menjadi penyebab keluhan anda antara lain: Dispepsia Gastritis (  infeksi kuman H. pylori ) Tukak lambung Morning sickness  /  hiperemesis gravidarum Obstruksi atau hambatan pada saluran pencernaan Efek samping obat-obatan atau kontrasepsi Keluhan mual biasanya menunjukan adanya gangguan pada saluran pencernaan, seperti infeksi, gangguan pada lambung, ataupun karena perubahan hormon akibat kehamilan.Sebaiknya anda dapat berkonsultasi dengan dokter anda atau  dokter spesialis penyakit dalam . Dokter memerlukan informasi lebih lengkap, pemeriksaan fisik secara langsung, ataupun pemeriksaan penunjang lainnya agar bisa membantu menjawab keluhan Anda. Beberapa hal yang dapat anda lakukan untuk mengurangi keluhan anda: Mengkonsumsi makanan dengan porsi sedikit namun lebih sering Menghindari makanan yang pedas, asam, berminyak, atau mengandung kafein seperti kopi Hindari makanan yang mengandung banyak gas seperti brokoli, kubis, kecambah, susu, ataupun kacang-kacangan Menghentikan kebiasaan merokok dan mengkonsumsi alkohol Hindari stress yang berlebih Anda juga dapat membaca  artikel ini mengenai mual. Semoga informasi ini dapat bermanfaat untuk anda, terima kasih.;1;1;1;1;1;0;;;;;;;;;;;;;;;;;
7;"Halo. Terima kasih atas pertanyaan yang disampaikan ke Alodokter. Kami dapat memahami kekhwatiran yang Anda rasakan. Apakah keluhan gatal pada selangkangan Anda disertai munculnya ruam pada kulit, misalnya kemerahan atau kulit menjadi terkelupas? Keluhan kulit terrasa gatal pada daerah di sekitar lipat paha dapat disebabkan oleh sejumlah kemungkinan, yang tersering antara lain: Skabies (disebabkan oleh infeksi parasit  Sarcoptes scabiei , keluhan: ruam kulit yang terutama muncul pada daerah sela jari tangan, bokong, selangkangan, sekitar alat kelamin, lipat ketiak; gatal paling sering dirasakan pada malam hari; mengenai sekelompok orang yang tinggal bersama, contoh: penghuni asrama atau sekeluarga yang tinggal bersama) Tinea cruris (disebabkan oleh infeksi jamur golongan dermatofita pada daerah sekitar kelamin, selangkangan, bokong, dan lipatan paha, keluhan: ruam kulit kemerahan dan kulit mengelupas, berbatas tegas, bagian tepi lebih aktif/merah dibandingkan bagian tengah ruam, disertai rasa gatal) Dermatitis kontak iritan, (radang kulit akibat kontak dengan bahan iritatif [deterjen, sabun, bahan kimia, dsb.] yang menempel pada kulit, tidak berhubungan dengan proses pembentukan kekebalan tubuh, gejala dapat langsung muncul pada pajanan pertama dengan bahan iritatif) Dermatitis kontak alergi (radang kulit akibat kontak dengan bahan alergenik [contoh: lateks, protein hewan laut, serbuk sari tanaman]) yang menempel pada kulit, berkaitan dengan proses pembentukan kekebalan tubuh terhadap bahan alergenik, gejala biasanya timbul setelah paparan berulang dengan bahan alergenik) Infeksi menular seksual, contoh: herpes simpleks (keluhan: sensasi terbakar, munculnya lenting yang mengelompok dan dapat pecah hingga menimbulkan luka dangkal) Faktor risiko timbulnya ruam kulit yang gatal pada daerah selangkangan meliputi: keadaan lingkungan yang hangat dan lembab, higienitas yang kurang baik (misalnya: jarang mengganti pakaian dalam), penggunaan pakaian yang ketat, serta hubungan seksual yang berisiko. Anda disarankan untuk memeriksakan diri ke dokter atau  dokter spesialis kulit dan kelamin  agar dapat dilakukan evaluasi dan penanganan yang diperlukan. Masalah kulit membutuhkan pemeriksaan secara langsung oleh dokter. Bila terdapat indikasi, dokter mungkin akan merencanakan pemeriksaan penunjang seperti kerokan kulit dengan bantuan pemeriksaan mikroskop. Nantinya, dokter mungkin akan meresepkan krim/salep untuk dioleskan, dan obat minum untuk mengurangi keluhan gatal. Sebagai anjuran, Anda disarankan untuk: Mandi dan cuci bersih pakaian secara teratur Ganti pakaian dalam secara teratur, terutama bila terasa sudah lembab Hindari penggunaan pakaian yang terlalu ketat Tidak menggunakan pakaian, pakaian dalam, dan handuk secara bersama Hindari hubungan seksual yang berisiko Untuk memperkaya wawasan, Anda dapat membaca artikel mengenai  skabies . Demikian penjelasan dari kami. Mudah-mudahan senantiasa sehat. Semoga bermanfaat.";1;1;1;1;1;1;;;;;;;;;;;;;;;;;
8;Terima kasih Alexander Deo Sinaga atas pertanyaannya. Badan yang semakin kurus sebenarnya dapat disebabkan karena: 1. Stress / banyak pikiran 2. Asupan makan yang kurang 3. Penyakit tertentu, misalnya TBC, hipertiorid, dan lain-lain Jika memang Anda yakin tidak mengalami penyakit tertentu dan tidak stress, maka Anda perlu menjaga pola hidup sehat. Menjaga pola hidup sehat dapat dilakukan dengan cara mengkonsumsi makanan bergizi serta berolahraga teratur. Makanan bergizi bukan berarti makan berlebihan, karena tubuh yang kurus bukan berarti terbebas dari penyakit diabetes, kolesterol dan lainnya. Makan bergizi berarti Anda perlu mengkonsumsi karbohidrat, protein, lemak, vitamin, mineral dan serat dalam jumlah yang seimbang. Anda juga dapat menambah asupan kalori Anda dari makanan seperti roti gandum, yoghurt, susu dan lainnya. Berolahraga teratur juga penting, terutama pembesaran massa otot baik yang Anda lakukan sendiri ( push up, pull up,  dan lainnya) ataupun di pusat kebugaran. Dengan bertambahnya massa otot Anda, maka berat badan pun akan naik. Makanan dan minuman yang dapat membuat tetap fit seperti yang telah saya sebutkan bahwa makanan yang bergizi. Hindari penggunaan  energy drink  berlebihan. Anda dapat mengkonsumsi multivitamin sebagai suplemen tambahan untuk membantu menjaga daya tahan tubuh. Anda juga dapat membaca artikel terkait: Menambah berat badan Demikian jawaban dari saya, semoga membantu dr. Andika Surya;1;0;1;1;1;0;;;;;;;;;;;;;;;;;
9;Hai, Tiap orang memiliki jenis kulit yang berbeda-beda, ada yang tipe jenis kulitnya berminyak, ada yang normal atau kombinasi, dan ada juga jenis kulit yang kering. Perawatan tiap jenis kulit pun berbeda-beda, dan sebaiknya disesuaikan dengan jenis kulit, begitu pun dengan produk wajah dan make up yang dipilih. Jenis kulit kering biasanya pada penggunaan make up akan sulit mengalami penempelan yang lama, maka dari itu pada kulit jenis kering disarankan untuk : gunakan pelembab kulit sebelumnya pilih produk kecantikan atau make up yang oil base disarankan pula yang menggunakan bahan minyak alami Selain hal-hal tersebut perlu diperhatikan hal berikut : hindari cuci muka dengan air hangat akan membuat wajah lebih kering, disarankan menggunakan air biasa saja gunakan pembersih wajah khusus untuk kulit kering gunakan pelembab sebelum ber make up atau sebelum tidur gunakan masker khusus untuk jenis kulit kering jangan terlalu sering mencuci wajah, yang baik disarankan 2x sehari dan sebelum tidur jangan lupa bersihkan make up hindari produk kecantikan yang mengandung alkohol, pengharum banyak minum air putih, minimal 2 L sehari perbanyak konsumsi sayur dan buah jangan menggosok bagian kulit yang kering atau mengelupas dapat menyebabkan iritasi hindari konsumsi vitamin A Kondisi kulit yang sehat menunjang juga make up menempel lebih sempurna pada kulit, selain asupan makan yang baik dan memenuhi kebutuhan nutrisi yang diperlukan tubuh, cukup istirahat dan olahraga teratur. Pola hidup yang sehat dan pola makan yang sehat dan teratur mendukung kulit juga tampak sehat. Make up akan tahan lebih lama pada kondisi kulit yang sehat dan lembab. Jika kondisi kulit kering yang Anda alami sangat parah, sebaiknya Anda memeriksakan diri ke dokter spesialis kulit untuk mendapatkan penanganan yang sesuai atau treatment yang dibutuhkan. Baca hal terkait  kulit kering ,  atasi kulit kering semoga bermanfaat, terimakasih dr. Danny;1;0;1;0;1;0;;;;;;;;;;;;;;;;;
10;Hai Michelachandra, Nyeri dada yang disertai dengan sesak nafas umumnya disebabkan oleh gangguan pada sistem pernafasan atau jantung. Keluhan sesak yang mengganggu proses bernafas memang dapat menyebabkan tubuh terasa lelah. Walaupun jarang, masalah pada pencernaan dapat pula menyebabkan keluhan nyeri dada dan sesak nafas. Nyeri dada dapat pula timbul akibat gangguan pada jaringan penyusun dinding dada (seperti tulang, tulang rawan, otot atau jaringan ikat). Berikut ini berbagai kemungkinan penyebab timbulnya nyeri dada: Ketegangan otot Cedera otot/tulang sekitar dada Costochondritis (peradangan tulang rawan iga) Penyakit asam lambung Pleuritis  (peradangan selaput paru) Pneumonia  (radang paru-paru) Emboli paru  (penyumbatan pembuluh darah paru) Gangguan jantung ( angin duduk ,  serangan jantung ) dan sebagainya Mengingat kemungkinannya beragam, maka untuk dapat memastikan penyebab nyeri dada yang Anda alami tentunya diperlukan pemeriksaan lebih lanjut. Bila keluhan terus berulang maka sebaiknya Anda menemui dokter agar dapat diperiksa secara langsung, baik melalui pemeriksaan fisik maupun tes penunjang jika diperlukan (seperti X-Ray, EKG atau CT Scan). Dengan demikian penyebabnya dapat ditelusuri sehingga penanganan yang tepat dapat diberikan bagi Anda sesuai dengan kondisi dasarnya. Berikut ini anjuran bagi Anda: Beristirahat cukup dan kurangi kegiatan yang berat Batasi aktivitas yang memerlukan kekuatan otot dada (menarik, mendorong, mengangkat beban) Berolahraga sesuai dengan kemampuan tubuh Makan secara teratur, jangan terlambat makan Hindari konsumsi makanan yang terlalu pedas, berlemak, asam, atau menimbulkan gas Jangan langsung berbaring setelah makan Hindari konsumsi kafein, alkohol atau rokok Meminimalisir stres Informasi berikut ini dapat berguna: Penyebab nyeri dada Sering sesak nafas Demikian semoga bermanfaat. dr. Muliani Sukiman;1;0;1;1;1;0;;;;;;;;;;;;;;;;;
