review,ac,air_panas,bau,general,kebersihan,linen,service,sunrise_meal,tv,wifi
over all baik tapi kalau bisa kolong tempat tidur jg dibersihkan ya karena terdapat pampers bayi bekas,neut,neut,neut,pos,neg,neut,neut,neut,neut,neut
ac jarus dixcek secara berkakak tanpa harus menunggu customer complained terimakasih,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
Nyaman tp ac bocor,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
Kamarnya kotor apalagi kamar mandi kotor tak terawat. WiFi tidak bisa. No recommended,neut,neut,neut,neut,neg,neut,neut,neut,neut,neg
agak kotor di kamar yg lantai 2.,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
cemilan ga da padahal nginap sampe 4 hari berturut2,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
Seprai berdebu dan cenderung kusam. Remote AC ga berfungsi. Lantai kamar mandi licin bahkan dalam ke,neg,neut,neut,neut,neg,neg,neut,neut,neut,neut
bagusss nyamn sayang watku ak nginpe kmar mandi nya bau bgt semuga lebih baik lg kdepan rekomended bgt,neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
tmpt tdr kurang bersih,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
kmr nyman syaf ramah cuman wif error mlulu pesen with brekfast sampe jam 10 paig blm dantar masa harus diingeti dlu lampu kamar agak remang2,neut,neut,neut,neut,neut,neut,pos,neg,neut,neg
"Secara objektif harus puas dengan fasilitas dan pelayanan yang diberikan sesuai harga kamar. AC, TV, Toilet, Tempat Tidur bahkan ada Balkonnya, lokasi mudah dijangkau hanya saja kala itu ketika check-in sambutan kurang ramau menurut saya mungkin karena resepsionisnya tdk ada yg ada Bos nya jadi beda lalu lampu tidur dikamar mati. Overall Mantab!",pos,neut,neut,pos,neut,neut,neg,neut,pos,neut
"Pelayanannya ramah, tempat strategis&byk tempat makan. Dgn budget murah udh dpt sarapan, cemilan&fasilitas kmar yg lumayan. Demi kenyamanan, utk keberishan dtingkatkan lagi. Next..balik lagi ksniÃ°ÂÂÂ",neut,neut,neut,neut,neg,pos,pos,pos,neut,neut
biasa ajaa remoote ac ga berfungi baru kali ini saya kevewa dagn airy biasanya dapet souvernier dari airy yg ini boro boro welkkom snack aja ga ada,neg,neut,neut,neut,neut,neg,neut,neut,neut,neut
spreinya kurang bersih. masih ada bekas rambutnya yg kamar atas. ,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
Lumayan....tp kebersihanya masih kurang...selimut dan bantal nya kuning...harap ditingkat kan lagi...kebersihan nya,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
kamar bersih .nyaman. ada desain gambar di dinding yang membuat kesan tersendiri sayang. enggak ada tong sampah. sama selimut di kamar,neut,neut,neut,neut,pos,neg,neut,neut,neut,neut
"awalnya sy mendapat kamar yg AC nya ga berfungsi dingin. Dan saya komplain ke receptionist, lalu sy dipindahkan ke kamar yg lebih bagus. kamarnya yg baru itu nyaman, bersih, ada cahaya matahari yg buat segar, ada snack, air mineral, peralatan mandi, dsb. saya puas Ã°ÂÂÂ",neg,neut,neut,neut,pos,pos,neut,neut,neut,neut
"air shower kecil dan lama panas, wifi lambat",neut,neg,neut,neut,neut,neut,neut,neut,neut,neg
Lebih di tingkatkan kebersihan kamar. ,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
cukup nyamman numun pirlu ditingkatkan lg kebersian kmr mndi miminal tdk bau,neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
"wc agak kotor, sampe malem brisik kena anak kecil kurang kedap suara",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
