Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
gue merasa gue tidak sipit mata gue kecil saja tapi orang orang bilang gue sipit dan mata gue tidak bisa melotot ,0,0,0,0,0,0,0,0,0,0,0,0
jangan ragu pak aparat hukum saja memilih di penjara apa tugas sosial memandikan singa apa buaya di kebun binatang,0,0,0,0,0,0,0,0,0,0,0,0
banyak orang tionghoa pinggiran yang baik baik dan menyebar sama masyarakat ke bawah mereka rata rata bisa bahasa indonesia dengan baik mereka tidak setuju dengan tenaga kerja asing republik rakyat cina dan juga penamaan jalan republik rakyat cina dalam pernikahan masih memakai adat di daerah kalau bandung masih pak,0,0,0,0,0,0,0,0,0,0,0,0
 nikmat banget duo cowok ganteng habis lagi ngentot dan ,0,1,0,0,0,0,0,0,0,0,0,0
hoaks ala pak yang mampu menyihir dua ratus lima puluh juta rakyat indonesia dan semoga rakyat indonesia tidak te ipu lagi di pemilihan presiden 2019 2019 presiden baru ayo pak menonton bareng video hoaks ala pak jokowi ,1,0,1,0,0,0,0,0,1,1,0,0
 bagaimana yen kerja ning slawi perek hotel grand dian nah saya toko material kue gone nyong digawe baik bagaimana 2x9 sama temboknya wkwk ,0,0,0,0,0,0,0,0,0,0,0,0
nisan jinan berengsek saya jadi te awa ,0,1,0,0,0,0,0,0,0,0,0,0
alah pak pak yang ribut itu kan hanya oknum oknum surat pemberitahuan tahunan bapak kini ya santai lah wilayah sudah dikendalikan tinggal bagi bagi keuntungan ke sesama kelompok kemarin kan pada kelaparan tidak dapat apa pun mau maling pun sulit rakyat makin parah,0,0,0,0,0,0,0,0,0,0,0,0
jika memang harus memberikan menyantuni anak yatim piatu ya seharusnya tidak harus orang sih anak yatim piatu itu dari golongan muslim saja mau beragama kristen katolik hindu buddha dan lain lain nya ya harusnya tetap disantuni begitu menurut aturan agama allah ,0,0,0,0,0,0,0,0,0,0,0,0
pebisnis cina kalau reklamasi pulau tidak dibatalkan jokowi akan kami lengserkan,1,0,1,0,0,0,0,0,1,0,0,1
 dia tidak bermata sipit maka beritanya biasa biasa saja kalau keturunan sudah di pastikan tujuh musim akan disiarkan ,0,0,0,0,0,0,0,0,0,0,0,0
 betul dan semua pihak yang menentang sih cina kafir ahok akan di kriminalisasi oleh polisi dengan semua rekayasa hukum nya,1,1,0,1,1,1,0,0,0,0,1,0
halau dan singkirkan cina dan amerika komunisme sekulerisme liberalisme dan demokrasi tukar dengan syariat allah dan utusannya gus syams,1,0,0,1,0,1,0,0,0,0,0,1
 congor nya dedemit ,1,1,1,0,0,0,1,0,0,1,0,0
kemarin itu masuk kelas tau tau teman pada bisa sarangeul buset sudah an semua edan seterkenal itukah lagu itu ,0,1,0,0,0,0,0,0,0,0,0,0
beberapa praktisi spiritual yang merujuk kepada kitab tersebut mengatakan bahwa hyang widhi sebutan untuk tuhan maha esa dalam agama hindu tidak sama dengan gusti allah dikatakan bahwa sesembahan leluhur dulu tidak lain hanyalah sebangsa jin yang tinggal di awang awang b,0,0,0,0,0,0,0,0,0,0,0,0
di mana ulat ulat bangkai tidak mati dan api tidak padam karena setiap orang akan digarami dengan api mereka 9 48 49 ,0,0,0,0,0,0,0,0,0,0,0,0
 perbandingan fotonya jangan kayak begini siiichhh pak menakut nakuti saja trauma pernah dikejar bencong ,0,0,0,0,0,0,0,0,0,0,0,0
kamu kalau mau lebih dekat dalam agama coba kamu berpikir bagaimana kamu menjadi sepe i tuhan iblis benar kata ulama di arab yang bilang kita benci yahudi itu karena doktrin dari kita kecil amp itu berentet sampai kamu punya cicit cucu dan lain lain itu kutukan orang,0,0,0,0,0,0,0,0,0,0,0,0
aku bukan kelompok cebong atau kaum kampret kayak dirimu,1,1,1,0,0,0,0,0,1,1,0,0
 kapan kah pengganti kata kafir 2k17 di 2k19 syiah jil komunis ,0,0,0,0,0,0,0,0,0,0,0,0
 setuju habiisssss bu puan wakil presiden pak jokowi dan 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
 asing baik banget huhu ,0,0,0,0,0,0,0,0,0,0,0,0
federation of international football association siasat isu suara monyet aksi prancis rusia dan ,0,0,0,0,0,0,0,0,0,0,0,0
