Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
jika seseorang mengatakan kepadamu karena km terlalu serakah sehingga dia selalu menyepelekan apa yang sedang km kerjakan dan tidak menghargai hasil kerja kita padahal apa yang sudah kita kerjakan butuh waktu ide ketelitian keterampilan dan itu semu,0,0,0,0,0,0,0,0,0,0,0,0
 kristen katolik berbeda tradisi dengan kristen protestan mas di katolik tidak pakai musik musik band atau musik yang menghentak hentak tetapi kita menyikapi perbedaan dengan bijak di kristen advent juga ada,0,0,0,0,0,0,0,0,0,0,0,0
 buta ya om ,1,1,1,0,0,0,1,0,0,1,0,0
pak jokowi di sambut hangat masyarakat papua dengan pakaian kebesaran adat papua inilah keanekaragaman suku agama bangsa indonesia apakah dengan alasan sara terus kita ribut ribut perbedaan adalah rahmat dari tuhan ,0,0,0,0,0,0,0,0,0,0,0,0
 encer kayak tai mencret ya ,0,1,0,0,0,0,0,0,0,0,0,0
tujuan dari proses kekuasaan adalah keamanan kesejahteraan dan keadilan bagi rakyat politician academy positif lugas dan mencerahkan,0,0,0,0,0,0,0,0,0,0,0,0
dan pada sabtu 21 4 2018 pagi masyarakat adat badui akan kembali melanjutkan perjalanan menuju kantor gubernur banten di kawasan pusat pemerintahan provinsi banten kawasan pusat pemerintahan provinsi banten di curug kota serang seba baduy 2018 marry,0,0,0,0,0,0,0,0,0,0,0,0
 dia manusia produk dungunya pangkat dungu akibat lahir dungu otaknya jadi dungu wajahnya pun dungu karena suka hina semua dengan dungu ,1,1,1,0,0,0,1,0,0,1,0,0
ketika ulama dan umara bersatu nu online,0,0,0,0,0,0,0,0,0,0,0,0
tidak tau malu nih cina harus angkat kaki di istana ,1,0,0,1,0,1,0,0,0,0,1,0
 cebong kocak muka kamu kayak pantat kodok ,1,1,1,0,0,0,1,0,0,1,0,0
tapi masih menikmati kebijakan yang dulu diusulkan partai komunis indonesia lah iya apa ,1,0,0,1,0,1,0,0,0,0,1,0
dua kali menonton filmnya kim tai ri di the handmaiden sama little forest aktingnya bagus sama cantik bersih tanpa operasi plastik cuma belum lihat dia main drama atau dia khusus main film doang ya tapi katanya dia bakal main drama di televisi nasional bulan juni ditunggu deh dramanya ,0,0,0,0,0,0,0,0,0,0,0,0
toh kita bukan negara satu agama tidak akan hilanglah budaya itu cuma karena pengaruh satu agama ya kecuali sih mayoritas ini masih kayak sekarang sih resek memaksa memaksa orang yang tidak satu agama sekalipun ,1,0,0,1,1,0,0,0,0,0,1,0
benarkan beta menyepak anda dasar yahudi ,1,1,1,0,1,0,0,0,0,1,0,0
ketika potong rambut malah kependekan dan culun ,0,0,0,0,0,0,0,0,0,0,0,0
 tapi kok ya ada orang orang islam yang mau tunduk diketiak rezim yang anti islam ini cc ,1,0,0,1,1,0,0,0,0,0,1,0
 bani tanpa sumbu alias taplak alias cebong mulai berkerumun ,1,1,0,1,0,0,0,0,1,0,1,0
perempuan kayak kamu mending mati saja deh jelek saja enggak usah sok jadi make up a ist ,1,1,1,0,0,0,1,1,0,1,0,0
3 bersama sama segenap orang kristen membentuk keluarga allah dia berdiam tinggal dengan roh nya efesus 2 19 22 ,0,0,0,0,0,0,0,0,0,0,0,0
ya ampun bentar lagi sampai jakarta apakah ini mimpi burik ,0,0,0,0,0,0,0,0,0,0,0,0
 haha kamu bom komen apa he ,0,0,0,0,0,0,0,0,0,0,0,0
 kamu dungu ya kata kata kok yang di dukung prabowo itu tanya cong bukan menyerang hadehhh dasar banci kamu ya ,1,1,1,0,0,0,0,1,0,1,0,0
oleh karena itu untuk menunjukkan sebagai negara yang berdaulat sektor sektor ekonomi harus dikuasai oleh negara dan dipergunakan sebesar besarnya untuk kemakmuran rakyat bukan oleh negara asing yang tidak memedulikan pembangunan indonesia freeport,0,0,0,0,0,0,0,0,0,0,0,0
 ada yang bodor kita aku adalah pas setan setan baju hitam nya pada muncul dekati rumah kenapa sih pada pakai payung setan kok takut sama gerimis ,0,1,0,0,0,0,0,0,0,0,0,0
di rezim ini sekretariat jenderal parai komunis vietnam digelar karpet merah di istana,1,0,1,0,0,1,0,0,0,1,0,0
 jablay memang kamu ya ,1,1,1,0,0,0,0,1,0,1,0,0
 baik baik jokowi dia anti islam,1,0,1,0,1,0,0,0,0,1,0,0
 mbok kalau tau bego jangan ngebegoin orang lain begitu lah bertanya dulu ke yang ahli ,1,1,1,0,0,0,0,0,1,1,0,0
 dasar bencong ,1,1,1,0,0,0,0,1,0,1,0,0
digerebek sama jokowi yang disalahkan demokrasi front pembela islam lah tegas dong mas bro jokowi otoriter hehe,1,0,1,0,0,0,0,0,1,1,0,0
kalau cewek x cowok kapelan memanggil daddy baby masih bisa diterima lah ya ini cowok x cowok tidak usah pakai daddy baby an segala jijik bangsat ,1,1,0,1,0,0,0,1,0,0,1,0
 yuk nete ,0,1,0,0,0,0,0,0,0,0,0,0
 ogah gue pilih pilih lesbi juga kawin ,0,0,0,0,0,0,0,0,0,0,0,0
kaum 1 2 kafir semakin radikal menyerang pusat pe ahanan umat islam kaum 1 2 kafir percaya dengan otak junk food nya yang kapasitasnya zero waspada adu domba kaum 1 2 kafir ,1,1,0,1,1,0,0,0,0,0,1,0
 naik onta kapan sampai nya ,0,0,0,0,0,0,0,0,0,0,0,0
dia tidak hebat pengikutnya saja yang dungu bin idiot ,1,1,0,1,0,0,1,0,0,0,1,0
 najis tidak mau membelai jablay ,0,1,0,0,0,0,0,0,0,0,0,0
dewan perwakilan rakyat daerahnya akan sibuk terima suap lagi dari para kandidat dan partai politik pendukung bukankah dulu kita pilihan kepala daerah langsung untuk menghapus ini ,0,0,0,0,0,0,0,0,0,0,0,0
 hal yang mustahil rezim sekarang berani melakukannya ,0,0,0,0,0,0,0,0,0,0,0,0
menyebut rezim anti islam tapi semangat banget daftar calon pegawai negeri sipil mau maunya jadi abdi negara yang anti islam ,1,0,1,0,1,0,0,0,0,1,0,0
 oh bra i kamu kemarin lupa sarapan mangkanya sarap ,0,1,0,0,0,0,0,0,0,0,0,0
 giliran berita yang kayak begini para cebong bermunculan dari kolam tetapi kemarin saat presiden kita dihina kalian para cebong pura pura tuli dan bisu ternyata cinta kalian palsu ,1,1,0,1,0,0,1,0,0,0,1,0
buat orang yang duduk 5 deret sebelah kiri gue di c17 mungkin c20 c25 planet hollywood gatot subroto kalian kampungan asli komen mulu sepanjang film ,1,1,0,1,0,0,0,0,1,0,1,0
 jadi anda masih sama gagal paham mengenai kegagalan merangkul saya dari tadi cuap cuap percuma anda gagal paham contoh kelompok yang mana 212 kemarin presiden aman aman saja tidak di saat,0,0,0,0,0,0,0,0,0,0,0,0
 by the way saya sudah melewati fase pe anyaan2 ateis yang dengan itu justru mendorong iman saya ke tkt ihsan insyaallah tak tergoyahkan kalau menghadapi bani ateis liberal ,0,0,0,0,0,0,0,0,0,0,0,0
dalam sambutannya ketua dewan perwakilan daerah golkar lumajang sudjatmiko menyampaikan bahwa keputusan pak ai yang menetapkan khofifah indar parawansa sebagai calon gubernur dan emil elestianto dardak sebagai calon wakil gubernur jawa timur dari pak ai golkar sudah bulat khofifah,0,0,0,0,0,0,0,0,0,0,0,0
kairoseki adalah alat yang dapat membatalkan kemampuan pengguna buah iblis dan melemahkan mereka ,0,0,0,0,0,0,0,0,0,0,0,0
kami orang awam saja tau kasus itu rekayasa tempo antek nya asing saatnya pimpinan partai keadilan sejahtera sekarang sadar kamu dukung panitia khusus bongkar tipu tipu nya komisi pemberantasan korupsi,1,0,0,1,0,0,0,0,1,0,1,0
 ini rezim sensasional tindakan dan peristiwa di luar nalar kita semakin dominan terjadi berdoalah semoga tidak ada yang mendeklarasikan islam cebong nusantara ,1,1,0,1,0,0,0,0,1,0,1,0
 komisi tiga menteri hukum dan hak asasi manusia mengenai md3 memang benar hak imunitas itu ada pernah ada perdebatan undang undang pilihan kepala daerah sudah ketok palu namun pendekatannya presiden sudah mengeluarkan peraturan pemerintah pengganti undang undang namun md3 ini presiden tidak mengeluarkan peraturan pemerintah pengganti undang undang tetapi tidak mau tanda tangan saya kira,0,0,0,0,0,0,0,0,0,0,0,0
 uhuk partai keadilan sejahtera antek komunis uhuk ,1,0,0,1,0,1,0,0,0,0,1,0
 rezim sekarang bobrok pak kiai dulu partai demokrasi indonesia perjuangan demo bahan bakar minyak naik terus mengeluarkan buku merah eh sekarang bahan bakar minyak naik kesannya diam diam kebanyakan plonga plongo presidennya presiden begitu pakai dibilang sama kayak umar bin khitan lagi nauzubillah ,1,1,0,1,0,0,0,0,1,0,1,0
 logisnya ya memang pesanan atau memang ahoker belum bisa maaf on lah memang warga daerah khusus ibukota bego ,1,1,0,1,0,1,0,0,0,0,1,0
habib sinting kan anonim tidak usah di dengarkan sakit jiwa dia ,1,1,1,0,0,0,1,0,0,1,0,0
kenapa awalnya gue harus kenal kamu kalau akhirnya kita sama sama kayak saling tidak kenal dasar banci ,1,1,1,0,0,0,0,1,0,1,0,0
ia mengatakan bahwa tindakan soemantri itu seorang pejabat negara atas nama negara memenuhi undangan perusahaan swasta asing tidak patut dan freepo 51 ,0,0,0,0,0,0,0,0,0,0,0,0
ingin bunuh diri tapi tidak mau sakit ledakan bom nuklir saja tapi mahal sih ,0,0,0,0,0,0,0,0,0,0,0,0
beriman kepada allah subhanahu wa taala yang dungu biadab anda mendungukan membiadabkan bangsa,1,1,0,1,1,0,0,0,0,0,1,0
 ketua komisi ih yakin jokowi tolak penghapusan pilihan kepala daerah langsung ketua komisi ih,0,0,0,0,0,0,0,0,0,0,0,0
 bilang jokowi itu kacung gue itu sangat jujur sekali tapi cebonger diam bisu tuli ,1,1,0,1,0,0,1,0,0,0,1,0
 bank pemerintah gulung tikar kmdn di jual ke asing asing ,0,0,0,0,0,0,0,0,0,0,0,0
 itu dia mata picek matanya cuma lihat sebelah ,1,1,1,0,0,0,1,0,0,1,0,0
 kebijakan pengembalian barang kepada konsumen yang dilakukan apabila barang tersebut rusak cacat produksi atau konsumen merasa kurang puas dengan produk tersebut terhitung selama 7 hari dari tanggal pembelian dan haus mini quiz hazid ,0,0,0,0,0,0,0,0,0,0,0,0
 langsung tag pak ainya tidak berani ya bera i kamu banci ,1,1,1,0,0,0,0,1,0,1,0,0
berdasarkan ayat al alquran allah tidak akan menghilangkan ilmu itu sekelip mata tetapi hilangnya ilmu itu ke ranah hilangnya para ulama di muka bumi lalu dilantik ketua daripada manusia yang jahil ,0,0,0,0,0,0,0,0,0,0,0,0
 monyet komunis tolol ,1,1,1,0,0,1,0,0,0,1,0,0
dengan kekuatan islam kita robohkan rezim pendukung anti islam ,1,0,0,1,1,0,0,0,0,0,0,1
 cair lah kamu ya anjing syiah kenyang kamu makan uang rezim partai komunis indonesia dasar syiah haram jadah kamu anjing ,1,1,1,0,1,0,0,0,0,1,0,0
kepala kepolisian daerah babi biadab dan bodoh tidak punya otak kali ,1,1,0,1,0,0,0,0,1,0,1,0
 sibuk ngewe ,0,1,0,0,0,0,0,0,0,0,0,0
4 pak ai yang pergi adalah pak ai besar semua banteng nyungsep kunci ditangan rakyat jangan menunggu sekolah menengah pertama 2019 langsung lengserkan jokowi revolusi,1,0,0,1,0,0,0,0,1,0,0,1
 jadi menteri suha o homo kan ,1,1,1,0,0,0,0,1,0,1,0,0
 haha antek asing kamu pikir kamu bisa kayak dengan memisahkan diri dari indonesia jadi antek pengeruk bumi iya kamu adalah paling dianggap jongos dasar mental penjilat kamu pada ,1,1,0,1,0,0,0,0,1,0,1,0
 benda bodoh apa aku baca nih bukan ke korang golongan bijak pandai kenapa bingai sangat nih kalau begitu beribu ribu ,0,1,0,0,0,0,0,0,0,0,0,0
 waaah ibu kamu sih perek gerwani di gangbang babi sipit bagaimana bentuk adikmu nanti ya choong kamu saja sudah hancur hasil dientot kuda bagaimana sama babi sipit ngooaaahahaaa pantas saja keluarga hewan ,1,1,1,0,0,0,0,1,0,1,0,0
pecun kelas teri nih ,1,1,1,0,0,0,0,1,0,1,0,0
 matamu picek a duit tidak ada memaksa beli hutang belum release baru mau disiapkan 11 bank sudah koar koar nanti waktu bayar dana tidak ada jawabnya bukan urusan saya dungu plus kocak diambil semua ,1,1,1,0,0,0,1,0,0,1,0,0
aku paling fuck orang myanmar noob sial main ml fuck ,1,1,0,1,0,1,0,0,0,0,1,0
usir saja nih cina satu ki gila pamungkas di bui gara gara anti cina lah ini cina sudah menumpang di negeri ini malah ,1,0,1,0,0,1,0,0,0,0,0,1
 kenapa pak prabowo suka kampanye negatif kampungan dan menggelikan ,0,1,0,0,0,0,0,0,0,0,0,0
