HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Count
0,0,0,0,0,0,0,0,0,0,0,0,5860
0,1,0,0,0,0,0,0,0,0,0,0,1748
1,1,1,0,0,0,0,1,0,1,0,0,1040
1,1,1,0,0,0,1,0,0,1,0,0,735
1,1,1,0,0,0,0,0,1,1,0,0,523
1,0,0,1,0,1,0,0,0,0,0,1,376
1,0,1,0,0,0,0,0,1,1,0,0,359
1,1,0,1,1,0,0,0,0,0,1,0,347
1,0,0,1,1,0,0,0,0,0,1,0,337
1,0,0,1,0,1,0,0,0,0,1,0,334
1,1,0,1,0,0,1,0,0,0,1,0,272
1,1,0,1,0,0,0,0,1,0,1,0,234
1,1,0,1,0,1,0,0,0,0,1,0,126
1,1,1,0,1,0,0,0,0,1,0,0,122
1,1,1,0,0,0,1,1,0,1,0,0,119
1,0,0,1,1,1,0,0,0,0,1,0,93
1,0,1,0,1,0,0,0,0,1,0,0,90
1,0,0,1,0,0,0,0,1,0,1,0,88
1,1,0,1,0,1,0,0,0,0,0,1,60
1,1,1,0,0,1,0,0,0,1,0,0,57
1,0,1,0,0,1,0,0,0,1,0,0,57
1,1,0,1,1,1,0,0,0,0,1,0,54
1,0,1,0,0,0,0,0,1,0,0,1,51
1,1,0,1,1,0,1,0,0,0,1,0,45
1,0,0,1,1,1,0,0,0,0,0,1,44
1,1,0,1,0,0,0,1,0,0,1,0,39
1,1,1,0,1,0,0,1,0,1,0,0,35
1,0,0,1,0,0,0,0,1,0,0,1,35
1,0,0,1,1,0,0,0,0,0,0,1,32
1,1,1,0,1,0,1,1,0,1,0,0,28
1,1,0,1,1,0,0,1,0,0,1,0,25
1,1,1,0,1,0,1,0,0,1,0,0,21
1,1,0,1,1,1,0,0,0,0,0,1,16
1,1,1,0,1,1,0,0,0,1,0,0,15
1,1,0,1,1,0,0,0,0,0,0,1,14
1,0,1,0,0,1,0,0,0,0,0,1,12
1,1,0,1,0,1,1,0,0,0,1,0,9
1,1,0,1,1,0,1,1,0,0,1,0,8
1,1,0,1,0,0,1,1,0,0,1,0,8
1,0,1,0,1,0,0,0,0,0,0,1,8
1,1,1,0,0,0,0,0,1,0,0,1,7
1,0,1,0,1,1,0,0,0,1,0,0,7
1,1,1,0,0,1,1,1,0,1,0,0,7
1,0,1,0,0,0,0,1,0,1,0,0,6
1,1,0,1,0,1,0,1,0,0,1,0,6
1,0,1,0,0,0,1,0,0,1,0,0,5
1,1,0,1,1,1,0,1,0,0,0,1,4
1,0,1,0,1,1,0,0,0,0,0,1,3
1,1,0,1,0,0,0,0,1,0,0,1,3
1,1,1,0,0,0,1,0,0,0,0,1,1
1,1,1,0,0,1,0,0,0,0,0,1,1
1,1,1,0,0,0,0,1,0,0,0,1,1
1,1,1,0,1,0,0,0,0,0,0,1,1
1,0,0,1,1,0,0,1,0,0,1,0,1
1,1,1,0,1,0,1,0,0,0,0,1,1
1,0,0,1,1,0,0,1,0,0,0,1,1
1,1,0,1,1,0,0,1,0,0,0,1,1
