HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Count
0,0,0,0,0,0,0,0,0,0,0,0,1440
0,1,0,0,0,0,0,0,0,0,0,0,442
1,1,1,0,0,0,1,0,0,1,0,0,245
1,1,1,0,0,0,0,1,0,1,0,0,208
1,1,0,1,0,0,0,0,1,0,1,0,166
1,0,0,1,0,1,0,0,0,0,1,0,103
1,0,0,1,1,0,0,0,0,0,1,0,79
1,1,0,1,1,0,0,0,0,0,1,0,79
1,0,0,1,0,1,0,0,0,0,0,1,55
1,1,1,0,1,0,0,0,0,1,0,0,50
1,0,0,1,0,0,0,0,1,0,1,0,47
1,1,1,0,0,0,0,0,1,1,0,0,45
1,1,0,1,0,0,0,1,0,0,1,0,39
1,1,0,1,0,1,0,0,0,0,1,0,39
1,0,1,0,0,1,0,0,0,1,0,0,38
1,0,1,0,1,0,0,0,0,1,0,0,36
1,1,0,1,0,0,1,0,0,0,1,0,34
1,1,1,0,0,1,0,0,0,1,0,0,32
1,0,1,0,0,0,0,0,1,1,0,0,25
1,1,1,0,0,0,1,1,0,1,0,0,17
1,0,0,1,0,0,0,0,1,0,0,1,17
1,1,0,1,0,1,0,0,0,0,0,1,9
1,0,0,1,1,0,0,0,0,0,0,1,9
1,1,0,1,1,0,0,0,0,0,0,1,7
1,1,0,1,1,0,0,1,0,0,1,0,7
1,0,1,0,0,1,0,0,0,0,0,1,7
1,0,1,0,0,0,0,1,0,1,0,0,6
1,0,1,0,0,0,1,0,0,1,0,0,5
1,1,0,1,1,1,0,0,0,0,1,0,5
1,0,1,0,0,0,0,0,1,0,0,1,5
1,0,0,1,1,1,0,0,0,0,1,0,5
1,1,1,0,1,0,1,0,0,1,0,0,2
1,1,1,0,1,0,1,1,0,1,0,0,2
1,0,0,1,1,1,0,0,0,0,0,1,2
1,1,1,0,1,1,0,0,0,1,0,0,2
1,1,0,1,0,1,0,1,0,0,1,0,2
1,1,0,1,1,1,0,0,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,0,1,1
1,0,1,0,1,0,0,0,0,0,0,1,1
1,0,1,0,1,1,0,0,0,0,0,1,1
1,1,1,0,1,0,1,0,0,0,0,1,1
1,1,1,0,1,0,0,1,0,1,0,0,1
1,0,1,0,1,1,0,0,0,1,0,0,1
1,1,1,0,0,1,1,1,0,1,0,0,1
1,1,1,0,0,1,0,0,0,0,0,1,1
1,1,0,1,1,0,1,1,0,0,1,0,1
1,1,0,1,0,0,1,1,0,0,1,0,1
1,1,1,0,0,0,1,0,0,0,0,1,1
1,1,0,1,0,1,1,0,0,0,1,0,1
1,1,1,0,0,0,0,1,0,0,0,1,1
1,1,0,1,1,0,0,1,0,0,0,1,1
1,1,0,1,1,1,0,1,0,0,0,1,1
1,1,0,1,1,0,1,0,0,0,1,0,1
