processed_text,pornografi,sara,radikalisme,pencemaran_nama_baik
jabar memang provinsi barokah boleh juga dan nwoi anjing bodoh npropinsi yang paling banyak ngerusak dan ngebakar gereja itu jatim tidak kamu sebut provinsi lumbung nasbung itu jatim npropinsi penghasil gembong teroris terbanyak itu jateng tidak kamu sebut lumbung nasbung itu jateng ngarang stereotip kok piliah pilih nbangsat kamu pecun,0,0,0,1
kita saja nitizen yang pada penasaran toh keluarga besar pasti sudah pada tahu situ juga kalau urusan nya diurusin orang pasti ngamuk ngedumel memberikan makan tidak sibuk ngurusin urusan aku yakan setiap orang pnya cara masng buat mensyukuri kebahagianya ada yang di publis ada yang disimpen yang pntng tujuanya apa terus kalau soal hijrahnya karena habib iya berarti alah memberikan jalanya lewat situ kan jalan hijrah manusia itu masingmasing pintunya jangan so tahu makanya,0,0,0,0
sidangahok semoga sipenista agama dan ateknya matinya tidak wjar dan jasadnya tidak dtrma tanah dan dia tidak pernah mrs kan surga amin semoga tuhan setuju,0,1,1,1
jakarta barusan baca undang ini tetap dibedakan kok antara presiden dan mantan presiden di bagian mantan presiden tidak termasuk pengamanan untuk anak dan menantu melainkan hanya mantan presiden beserta istri suami saja itu boleh masuk sampai situ mungkin karena vip di mana saya yang rakyat biasa pun bisa kroscek lagi mas sebelum ngegas,0,0,0,0
buat anak melulu kamu nof nkaga mikir apa kasian anak kamu nanti akan malu punya bapak kelakuan kaya kamu,0,0,0,0
itu membuktikan bahwa rakyat malaysia anti cina indonesia pun juga tapi masih malu kita tungu gerakan anti cina di indonesia,0,1,0,1
eh memek diam kamu kepala kamu kaya kontol muka kamu kaya memek dasar gigolo punya penyakit kelamin iya kamu wakakaka,1,0,0,0
mungkin akibat memakai gorden di kepala menghambat aliran oksigen ke otak menyebabkan intelejensia menurun drastis dan nsampe lihat miskiner kriditan bawa motor saja terpesona buka hati dan buka paha,0,0,0,0
e kakak nona yang paling bodoh dan bodoh manokwari sekarang so jadi ibu kota provinsi papua barat kakak bodoh jangan dipiara kakak e,0,0,0,0
swimwear punya majikan dicolong dasar babu tidak tahu diri cepat kembalikan x jam tidak minta maf kamu siap dipasung,0,0,0,0
