processed_text,fuel,machine,others,part,price,service
"saran ku dan pengalaman ku , mending beli mobil niaga L300 atau canter . irit dan bandel .",positive,positive,neutral,neutral,neutral,neutral
"@LinaRadj kapan-kapan coba bengkel daihatsu , mereka mau kok . Servis lebih bagus .",neutral,neutral,neutral,neutral,neutral,positive
Mending confero harga nya lebih murah daripada formo.,neutral,neutral,neutral,neutral,negative,neutral
kalo soal servis mending pilih grand livina soalnya after sales service nya mudah dan cepat,neutral,neutral,neutral,neutral,neutral,positive
Lampu utama depan Grand New Veloz juga mendapatkan perubahan desain dan terkesan lebih agresif dan sedikit menonjol,neutral,neutral,neutral,positive,neutral,neutral
"Xenia tahun 2008 bolak-balik jakarta - bandung , aki tetap aman .",neutral,neutral,neutral,positive,neutral,neutral
#YamahaID Perawatan Motor Injeksi Yamaha Mudah dan Murah,neutral,neutral,neutral,neutral,neutral,positive
brio pajak nya murah karena ckd daripada ignis atau sirion yg cbu pajak nya agak mahal trus onderdil nya agak susah atau lama kalo mau klaim asuransi,neutral,neutral,neutral,negative,negative,neutral
toyota menang harga nya kalo nantinya mau dijual,neutral,neutral,neutral,neutral,positive,neutral
All New Toyota Kijang Innova G Diesel 2017 . Mesin bandel nan irit Otolovers .,positive,positive,neutral,neutral,neutral,neutral
untuk yang sekarang great new xenia sudah mempunyai fasilitas yang wow dengan harga yang bersahabat bahkan lebih murah daripada rival nya,neutral,neutral,neutral,positive,positive,neutral
"punya mobil altis tidak awet , baru setahun sudah rusak .",neutral,neutral,negative,neutral,neutral,neutral
Xenia ku tipe xi sudah 1.5 tahun dan cukup bangga dengan performa nya,neutral,positive,neutral,neutral,neutral,neutral
"Service rutin ke bengkel daihatsu resmi gak jaminan juga , rem - ku blong waktu jalan ,",neutral,neutral,neutral,neutral,neutral,negative
"Saya pakai karimun , adik saya pakai brio . memang karimun lebih nyaman walau lebih murah dari brio .",neutral,neutral,positive,neutral,positive,neutral
bodi plus tampilan nya Avanza baru mantap juragan,neutral,neutral,neutral,positive,neutral,neutral
Sudah dari dulu Toyota selalu kasih produk super mahal dengan fitur pas pasan,neutral,neutral,neutral,negative,negative,neutral
"udah gaya nya stylish ekonomis pula, beli calya deh",neutral,neutral,neutral,positive,positive,neutral
avanza ini mobil saya yang paling bandel,neutral,positive,neutral,neutral,neutral,neutral
Mobil kualitas jelek kayak wuling saja masuk Indonesia.,neutral,neutral,negative,neutral,neutral,neutral
Pelayanan bengkel daihatsu bagus,neutral,neutral,neutral,neutral,neutral,positive
"gue punya xenia xi , dasbor nabrak pohon , setelah dua hari diperbaiki di servis resmi daihatsu , langsung jadi kayak baru lagi , keren .",neutral,neutral,neutral,neutral,neutral,positive
"Lebih bagus Mobil Esemka , Mobil Nasional Asli Buatan Dalam Negeri , Harga Terjangkau , Irit BBM Mesin nya juga tangguh .",positive,positive,positive,neutral,positive,neutral
Servis di Bengkel Toyota Lebih cepat,neutral,neutral,neutral,neutral,neutral,positive
Honda Spacy irit banget sumpah,positive,neutral,neutral,neutral,neutral,neutral
Gak bisa tidur kalau malam-malam di mobil karena suara ac nya berisik sekali,neutral,neutral,neutral,negative,neutral,neutral
"Ih bengkel honda ini picik banget ya , masa iya aki motor gue ditukar sama yang jelek biar gak bisa hidup terus ada keluhan terus ke sana lagi gitu",neutral,neutral,neutral,neutral,neutral,negative
"dari segi kenyamanan cortez oke lah, tapi bahan bakar nya itu loh boros banget",negative,neutral,positive,neutral,neutral,neutral
numpang gabung ya baru beli xenia 04 - 2008 3 hari yang lalu keseluruhan gue ngerasa cukup .,neutral,neutral,positive,neutral,neutral,neutral
setuju banget kalau jazz lebih keren dan mantap daripada mobilio,neutral,neutral,negative,neutral,neutral,neutral
fortuner sparepart nya banyak dijual di mana-mana,neutral,neutral,neutral,positive,neutral,neutral
"Udah beli yg rush 2018 , alhamdulillah tidak ada penyesalan sampai saat ini dan insyaAllah seterusnya",neutral,neutral,positive,neutral,neutral,neutral
handling mini cooper juara .,neutral,neutral,neutral,positive,neutral,neutral
Saya sangat puas dengan mobil saya selain berbadan besar terlihat mewah dan sangat irit bahan bakar karena minum nya solar jadi mantap kijang innova,positive,neutral,positive,positive,neutral,neutral
xenia gak awet banget masa baru 6 bulan sudah bermasalah,neutral,neutral,negative,neutral,neutral,neutral
lama banget nunggu inden xpander keburu saya jual ini mobil,neutral,neutral,neutral,neutral,neutral,negative
"Saya naik mazda CX3 sehari-hari . performa mantap , mobil nyaman tidak seperti honda hrv yang cenderung goyang-goyang",neutral,neutral,negative,neutral,neutral,neutral
"Avanza guncangan mesin nya halus meski di jalan yang tak mulus , AC enggak menurun meski dinyalakan tanpa henti , dan mesin enggak cepat panas berlebih meski macet bermenit-menit .",neutral,positive,neutral,positive,neutral,neutral
"Mobil honda emang keren , saya punya honda CRV tahun 2006 sampai sekarang masih mulus ,",neutral,neutral,positive,neutral,neutral,neutral
"Honda slalu nanggung dan maksa tiap kali melakukan upgrade mobil yangg sudah ada , membosankan",neutral,neutral,negative,neutral,neutral,neutral
"Buat yang orientasi pengendara , Mitsubishi ini cocok banget mau mobil yang menyenangkan untuk dikendarai enak dibawa luar sama dalam kota",neutral,neutral,positive,neutral,neutral,neutral
N - Max biaya perawatan mahal bakal lebih boros dari pada kamu naik angkutan umum,neutral,neutral,neutral,neutral,neutral,negative
Fortuner lebih mewah lebih besar,neutral,neutral,positive,neutral,neutral,neutral
