processed_text,1-FR,2-GI,3-PI,4-DM,5-EDTRB,6-RE
halo asma ul terimakasih atas pertanyaan anda kondisi yang anda alami kemungkinan merupakan suatu kista bartholin yang terinfeksi bartholin sendiri merupakan suatu kelenjar yang terletak pada kedua sisi bibir vagina kelanjar bartholin dapat mengeluarkan cairan yang berperan sebagai pelumas saat berhubungan seksual penyabab dari timbulnya kondisi kista bartholin yang terinfeksi yaitu dikarenakan tersumbatnya saluran kelenjar dan akhirnya cairan pun tertampung dan membentuk kantong kista ini pun akhirnya terinfeksi oleh bakteri yang akhirnya menimbulkan gejala rasa nyeri pada benjolan selain dari kista bartholin yang terinfeksi kondisi yang anda alami dapat juga disebabkan oleh kista sebaseus lipoma fibroma hidradenoma kista disontogenik myoblastoma dll kami sangat menyarankan kepada anda untuk segera mengunjungi dokter spesialis kebidanan dan kandungan agar dilakukan serangkaian pemeriksaan lebih lanjut seperti pemeriksaan fisik organ intim tes laboratorium darah dll sehingga penyebab pasti dari benjolan di organ intim anda diketahui dan akhirnya penanganan yang tepat dapat diberikan klik artikel di bawah ini untuk lebih jelasnya kista bartholin demikian penjelasan yang dapat kami sampaikan semoga bermanfaat salam dr jati,1,0,1,1,1,0
halo annisawardani terimakasih telah menggunakan forum alodokter ruam adalah peradangan dan perubahan warna yang terjadi pada kulit timbulnya gatal gatal berwarna merah adalah bentuk bentuk reaksi pada kulit yang mengalami ruam hal ini juga dapat diserta dengan gejala lain seperti demam atau sakit tenggorokan ruam kulit bisa disebabkan oleh alergi efek samping penggunaan obat atau kosmetik dan berbagai macam penyakit berikut adalah beberapa penyakit yang dapat menyebabkan ruam dan gatal seperti keluhan anda dermatitis seboroik adalah kelainan kulit yang mengenai kulit kepala dan kulit bagian tubuh lain di mana banyak terdapat kelenjar minyak area tubuh yang biasanya terkena adalah punggung wajah serta dada bagian atas dermatitis seboroik bukan penyakit menular tapi bisa berkembang menjadi cukup parah hingga memengaruhi rasa percaya diri penderitanya gejala penyakit ini bisa berupa kulit yang terasa gatal perih merah dan terkupas dermatitis atopik atau eksim atopik adalah peradangan pada permukaan kulit yang dapat menyebabkan munculnya ruam yang gatal dermatitis kontak adalah peradangan pada kulit karena terjadinya kontak dengan bahan yang menyebabkan alergi beberapa bahan atau zat yang bisa menyebabkan kondisi ini antara lain adalah sabun kosmetik pewangi perhiasan dan tanaman atau bunga infeksi jamur adalah organisme primitif yang hidup di tanah udara tanaman dan air selain itu ada juga beberapa jamur yang hidup di dalam serta di permukaan tubuh manusia infeksi jamur lebih mudah terjadi pada orang yang memiliki sistem kekebalan tubuh lemah atau sedang menjalani pengobatan dengan antibiotik sengatan dan gigitanserangga seperti lebah semut nyamuk termasuk perantara penyakit malaria dan demam berdarah semut api lalat kutu impetigo adalah penyakit kulit yang disebabkan oleh bakteri staphylococcus aureus atau streptoccus pyogenes dan sangat mudah menular alergi obat adalah reaksi abnormal dari sistem kekebalan tubuh seseorang terhadap obat yang dikonsumsi gejala yang paling umum dari alergi obat adalah munculnya ruam yang disertai demam dan biduran urtikaria campak adalah infeksi yang disebabkan oleh virus dan mengakibatkan munculnya ruam di seluruh tubuh selulitis adalah infeksi jaringan kulit yang cukup serius dengan gejala berupa kulit yang terasa sakit saat dipegang terasa panas serta terlihat membengkak dengan warna kemerahan berikut adalah beberapa cara untuk mengurangi gatal lebih baik mengusap daripada menggaruk area yang gatal minimalisasi konsumsi makanan pedas kafein dan minuman keras yang dapat memengaruhi aliran darah dan menyebabkan gatal bertambah parah kompres bagian yang gatal dengan kain flanel yang dibasahi air dingin potong kuku anda sehingga tidak akan menimbulkan luka jika tidak bisa menahan diri untuk menggaruk area yang gatal mandi dengan air dingin dan batasi agar waktu mandi tidak lebih dari menit hindari penggunaan pakaian dengan bahan yang dapat menambah rasa gatal seperti wool atau pakaian yang terlalu ketat oleskan losion setelah mandi untuk membuat kulit tetap lembap gunakan sabun dengan kandungan ringan yang tidak terlalu berisiko menyebabkan iritasi kulit gunakan sprei dengan bahan yang tidak panas dengan permukaan halus kelola stres kecemasan dapat membuat gatal memburuk hindari menggunakan salep gatal tanpa pemeriksaan dan resep dokter karena dapat memperparah gejala jika tidak sesuai jika keluhan tidak kunjung hilang diharapkan langsung konsultasi ke dokter kulit untuk mendapatkan penanganan yang tepat semoga bermanfaat dr celleen rei setiawan,1,0,1,1,1,0
hai yogi aji terimakasih telah bertanya ke alodokter sebagian masyarakat memilih menggunakan kipas angin untuk membantu menjaga suhu ruangan agar sejuk dan tidak terlalu panas namun demikian banyak yang tidak menyadari dampak buruk yang bisa disebabkan oleh penggunaan kipas angin secara berlebihan menggunakan kipas angin dapat menyebabkan debu dan kotoran yang ada di ruangan menjadi berterbangan dan lebih mudah terhirup oleh saluran pernapasan manusia kondisi ini paling bahaya jika terjadi pada bayi dan anak anak yang kondisi kekebalan tubuhnya belum baik jika dibiarkan maka seseorang akan lebih mudah mengalami infeksi saluran pernapasan misalnya rhinitis faringitis tonsilitis bronkhitis atau pneumonia selain itu paparan suhu dingin yang disebabkan oleh hembusan angin dari kipas angin pun bisa menyebabkan orang yang sensitif mengalami alergi alergi ini bisa muncul sebagai keluhan rasa sesak ruam kulit mual atau keluhan lainnya karenanya sebaiknya hindari penggunaan kipas angin berlebihan ya sebagai alternatif anda bisa melakukan beberapa tips berikut untuk membantu menjaga suhu ruangan perbaiki ventilasi lingkungan misalnya dengan membuka jendela dan pintu jika memungkinkan menggunakan ac air conditioner akan lebih baik jika tidak memungkinkan anda bisa menggunakan kipas angin namun jangan disorotkan langsung ke tubuh cukup manfaatkan pantulan anginnya saja agar tidak berlebihan untuk informasi lebih lanjut silakan konsultasikan langsung dengan dokter anda ya semoga membantu dr nadia nurotul fuadah,1,0,1,1,1,0
alo himmah terima kasih sudha bertanya kepada alodokter facial wash meruapakanjenis sabun pembersih wajah yang memiliki fungsi untuk menjaga kelembapan dan kelembutan kulit wajah untuk pergntian facial wash sebanrnya tidak masalah jika anda ingin langsung menggantinya karena bila kita berahli kemungkinan suatu pembersih wajah tersebut tidak cocok saran saya gunakn pembersih wajah sesuai jenis kulit anda ya nah anda bisa melakukan uji coba dulu menggunakan facial wash yang akan anda gunakan dibagian tertentu seperti di leher atau tangan anda apakah tidak ada reaksi negatif anda bisa mealnjutkan penggunaan pemebersih wajah tersebut dimana mengganti sabun cuci muka terlalu sering juga tidak disarankan hanya karena anda tidak puas dengan produk tersebut hal ini malah akan berimplikasi pada produk pengganti yang membutuhkan waktu lebih lama untuk berkerja secara efektif karena hasil yang di dapat tidak instan maka nya saran saya gunakan lah pembersih sesuai kebuthan kulit anda ya bila anda kesulitan dalam menetukan jenis kulit anda anda bisa melaukan konsultasik ke dokter kulit demikian info yang bisa saya berikan terima kasih,1,0,1,1,1,0
halo edogawa krysma terima kasih atas pertanyaan anda kepada alodokter sakit di dada disertai dengan kepala yang terasa pusing dan sakit di tengkuk ataupun punggung yang anda rasakan bisa saja merupakan gejala yang berkaitan karena suatu penyakit tertentu atau dapat pula tidak berhubungan satu sama lain penyakit berbeda beda mari kita bahas satu persatu sakit di dada sendiri dapat disebabkan oleh berbagai macam hal seperti cedera pada otot ataupun tulang coba anda ingat kembali apakah terdapat cedera atau trauma di bagian dada sebelum terjadinya gejala tersebut biasanya nyeri akibat cedera pada otot maupun tulang akan bertambah apabila anda bergerak dan membaik pada posisi tertentu misal istirahat memar akibat cedera dapat terlihat ataupun tidak bila bagian dalamnya yang terkena gangguan pada jantung seringkali nyeri dada terutama sebelah kiri disebabkan oleh adanya gangguan pada jantung misal serangan jantung penyakit ini umumnya ditemukan pada orang usia lebih tua ugt tahun namun seiring dengan perubahan pola hidup masa kini rentang usia ini bergeser dan dapat pula ditemukan pada usia muda nyeri dirasa sebagai nyeri dada yang berat seperti tertindih di tengah dada atau dada sebelah kiri nyeri dapat menjalar ke lengan kiri tengkuk dan rahang serta bisa di jumpai mual dan keringat dingin biasanya nyeri dicetuskan oleh aktivitas terkadang bisa membaik dengan istirahat namun bila sudah parah nyeri dapat pula menetap penyakit masalah pada lambung seringkali penyakit lambung menyerupai nyeri dada akibat gangguan di jantung kebanyakan orang dengan tingkat asam lambung yang terlalu tinggi dapat menyebabkan rusaknya lapisan dinding lambung sehingga terjadilah peradangan pada lambung atau disebut juga gastritis keluhan yang dirasa meliputi perih pada ulu hati tepat dibawah tulang dada tengah terkadang hingga menyebabkan nafas terasa berat dan terhambat kesannya seperti sesak nafas permasalahan lainnya yang dapat diakibatkan oleh asam lambung adalah naiknya asam lambung ke kerongkongan disebut juga gastroesophageal reflux disease gerd pada kondisi ini penderita dapat mengalami gejala dada atau ulu hati terasa panas sensasi benda yang mengganjal di tenggorokan rasa masam atau pahit dimulut saat bangun tidur dan lain sebagainya penyakit penyakit akibat lambung ini biasanya lebih rentan mengenai orang yang memiliki pola makan kurang baik misal sering makan telat makan yang terlalu pedas dan lain lain adanya beban pikiran stress juga merupakan risiko terjadinya masalah pada lambung pusing harus dibedakan dengan sakit kepala pusing merupakan sensasi dimana seseorang merasa tubuhnya menjadi ringan seperti kehilangan keseimbangan limbung dan bisa saja seseorang mengalami pusing berputar sedangkan sakit kepala seseorang merasa sensasi nyeri dikepalanya sensasi tersebut dapat berupa nyeri seperti diikat kepala berat nyeri berdenyut atau lain sebagainya seringnya seseorang merasa adanya sensasi nyeri di kepala yang melibatkan tengkuk ataupun punggung pada kondisi otot yang terlalu tegang kondisi tersebut disebut juga sakit kepala tegang namun sakit pada tengkuk ataupun punggung dapat pula terjadi akibat hal lain misal mempertahankan posisi yang salah dalam waktu lama duduk terlalu lama membaca didepan layar ataupun buku terlalu lama tidak dapat disingkirkan pula kemungkinan adanya kelainan pada tubuh misal dari bentuk tulang cedera di tulang belakang dan lain sebagainya untuk pertanyaan anda bayi prematur memang memiliki risiko risiko untuk mengalami kondisi tertentu pada saat masa perkembangan dan pertumbuhannya misal membutuhkan waktu lebih lama untuk mencapai perkembangan tertentu seperti lebih lama untuk bisa berjalan dan untuk pertumbuhan berat badan ataupun panjang badan lebih kecil dengan bayi yang lahir normal namun bila saat masa pertumbuhan dan perkembangan itu dapat dijalani bayi prematur dengan baik dengan stimulasi dan perawatan yang baik bayi prematur pun dapat tumbuh dan berkembang sesuai dengan usianya menyamai anak seusianya saat dewasa bayi prematur pun dapat menjalani aktivitas dan memiliki kondisi fisik yang baik sehingga pernyataan bahwa bayi prematur saat dewasa lebih rentan terkena penyakit penyakit kurang tepat kecuali memang ada kondisi tertentu pada bayi tersebut kondisi nefrotic syndrome sendiri merupakan kondisi yang mengganggu kerja ginjal dimana ginjal kehilangan kemampuannya untuk menyaring darah menyebabkan protein protein besar yang masih dibutuhkan tubuh keluar melalui pipis hal inilah yang anda sebut diatas sebagai positif urin protein urin positif terdapat beberapa penyakit lain yang dapat terjadi bila terdapat gangguan di ginjal misal darah tinggi anemia kurang darah dan lain lain kondisi anemia dapat mengakibatkan kondisi badan menjadi lemas dan cepat lelah namun banyak pula hal hal lain yang menyebabkan badan cepat lelah selain anemia contohnya kurang istirahat pola makan yang kurang baik dan stress karena anda memiliki riwayat penyakit ini saya sarankan anda untuk selalu kontrol ke dokter penyakit dalam agar kondisi ginjal anda dapat selalu terawasi dan mengetahui apakah penyakit tersebut memang kambuh lagi atau tidak selain itu tetap jaga kondisi anda dengan cara makan makanan bergizi seperti sayur dan buah daging merah hati ayam perbaiki pola makan dengan cara makan x sehari secara teratur usahakan diantara makan besar ada waktu untuk snack sementara ini hindari makanan pedas pedas terlalu berlemak dan minum soda ataupun kopi konsumsi air putih minimal gelas per hari sempatkan melakukan peregangan otot ditengah kesibukan anda hindari stress dengan cara mencari hobi yang positif akivitas fisik olahraga teratur minimal x seminggu dengan durasi menit sekian semoga bermanfaat dan semoga anda sehat selalu salam dr sheryl serelia,1,0,1,1,1,0
halo wahyuni pada pertanyaan anda antibiotik biasanya diberikan atas resep dokter untuk penyakit penyakit yang disebabkan oleh infeksi bakteri seperti batuk yang disebabkan bakteri pneumonia radang paru gastroenteritis diare infeksi saluran kemih penyakit menular seksual dll setiap antibiotik memiliki dosis yang dianjurkan serta dosis maksimum per hari nya dan memiliki beberapa efek samping maupun reaksi alergi berikut adalah beberapa efek samping yang ditimbulkan mual muntah diare kembung sedangkan reaksi alergi yang ditimbulkan berupa mual dan muntah diare rash kemerahan di kulit pusing sesak napas penanganan sementara yang dapat dilakukan adalah segera konsultasikan obat antibiotik pada dokter yang bersangkutan jangan mengkonsumsi obat lain terlebih dulu karena keluhan anda tidak dapat diketahui merupakan reaksi alergi atau efek samping yang didapat dari obat anda mengalami reaksi hipersensitifitas dari obat tersebut jika anda alergi terhadap suatu substansi biasanya diperlukan pemeriksaan alergi lebih lanjut semoga menjawab pertanyaan anda salam dr celleen,1,0,1,0,1,0
alo terimakasih atas pertanyaan ada di alodokter sesak umumnya dpaat disebabkan oleh gangguan kesehatan fisik ataupun kesehatan mental kesehatan fisik yang dpaat menyebabkan gangguan nafas diantarnya penyakit asam lambung penyakit paru asma pneumonia bronchitis penyakit jantung angina anmeia disbeutkan bahwa anda mengalami keadaan dimana tidka bekerja di luar rumah dan kuran melakukan refresing saat seseornag sedang bekerja atau berada di dalam suatu tekanan maka tubuh butuh waktu untuk beristirahat atu menenangkan pikiran suatu tindakan yang monoton atau berulang tanda refersing dapat meningkatkan stress saat seseorang mengalami stress maka tubuh akan memproduksi hormone adrenalin dan juga kortisol hormone ini dapat menyebabkan gangguan pada beberap fungsi organ tubuh diantarnya jantung berdebar mual muntah pusing sesak nafas disebutkan bahwa anda mengalami sesak ketika anda sedang sendiri dan jug amerasakan ke khawatiran yang lebih namun ketika berbicara santai dengan keluarga keluhan hilang hal ini dpaat di picu karena peningkatan hormon adrenalin dan joga kortisol di dalam tubuh anda sehingga menyebabkan anda menarik napas pendek dna cepat selain stress panik gugup cemas dna sedih juga dpaat menyebabkan sesak nafas umuny asesak nafas ini akan mebaik ketika faktor tekanan atau stress juga teratasi dengan baik untuk mengurangi keadaan ini sebaikny aanda melakukan kelola stress dengan baik diantaranya berolahraga melakukan hal yang disenangi berjalan jalan bertukar pikiran atau ngobrol dengan orang meditasi semoga bermanfaat sehat selalu,1,0,1,1,1,0
halo susan sebaiknya kamu menghentikan pemakaian masker madu tersebut apa yang kamu alami sepertinya adalah suatu dermatitis kontak alergik yang mungkin terjadi akibat hipersensitivitas terhadap kandungan dalam madu tersebut beberapa hal lain yang perlu diperhatikan hentikan kontak terhadap alergen masker kenakan pelembab emolien anda dapat menggunakan obat obatan antihistamin seperti ctm cetirizin atau loratadin untuk mengurangi gejala tersebut jika gejala belum berkurang sebaiknya konsultasikan ke dokter dokter mungkin akan meresepkan obat obatan yang berisi campuran antihistamin dan kortikosteroid seperti deksametason betametason jangan menggaruk bagian yang gatal demikian yang dapat saya sampaikan semoga bermanfaat,1,0,1,1,1,0
alo runyruny terimakasih telah bertanya dengan alodokter beberapa penyebab dari keluhan anda antaralain infeksi jamur pada kuku tinea unguium infeksi pada jaringan di sekitar kuku paranokia hematoma tinea pedis infeksi lainnya pada kuku cidera atau trauma pada kuku diperlukan informasi tambahan seperti berapa usia anda sudah berapa lama keluhan ini tersebut rasakan apakah terdapat riwayat penyakit lainnya seperti kencing manis darah tinggi atau penyakit jantung warna kuku yang hitam bisa menunjukan adanya infeksi pada kuku kaki akibat cidera ataupun penyebab lainnya untuk bisa menentukan penyebab pasti dari keluhan anda anda disarankan untuk berkonsultasi secara langsung dengan dokter umum atau dokter spesialis kulit karena dokter memerlukan pemeriksaan fisik melihat secara langsung kondisi kaki anda dan juga pemeriksaan laboratorium untuk memastikan penyebab yang pasti dari keluhan anda dokter akan memberikan obat atau salep berdasarkan penyebab dari keluhan anda baik itu anti jamur ataupun anti bakteri dan pengobatan lainnya yang sesuai dengan keluhan anda beberapa hal yang anda dapat lakukan adalah pilihlah sepatu yang ringan dengan saluran udara yang baik jika menggunakan kaus kaki pilihlah bahan yang menyerap keringat menjaga kebersihan kaki anda dan selalu membuat kondisi kaki anda kering dan bersih sering mengganti kaus kaki dan mencuci sepatu anda hindari menggaruk bagian kuku kaki yang gatal anda jua disarankan untuk membaca artikel berikut ini penyebab kuku hitam dari ringan hingga penyakit serius semoga informasi ini dapat bermanfaat untuk anda,1,1,1,1,1,0
halo gigi yang berlubang dan dalam kondisi nyeri bisa disebabkan karena infeksi gigi kista gigi gangren gigi abses pulpa gigi dll penanganan sakit gigi di rumah bisa dilakukan dengan minum obat pereda nyeri seperti paracetamol rajin menyikat gigi berkumur dengan cairan antiseptik khusus mulut lakukan flossing pemberian cengkeh bisa membantu meredakan nyeri jika sangat mengganggu dokter gigi bisa menjadi tujuan agar nyeri gigi anda bisa diobati dalam kondisi nyeri tindakan pencabutan gigi sebaiknya dihindari dokter gigi akan memberikan alternatif pilihan berupa pemberian antibiotik dan anti radang serta memberikan obat ke dalam gigi yang nyeri dan menambalnya sementara jika nyeri mereda maka tindakan pencabutan gigi bisa dilakukan atau jika anda berniat mempertahankan gigi anda maka tindakan lain bisa dilakukan seperti menambal gigi membuat jaket atau crown gigi membuat gigi implan dll semoga bermanfaat dr yusi,1,0,1,1,1,0
