Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
25,0.81,0.9722222222222222,0.6532843428612597,0.0
63,0.81,0.9722222222222222,0.6532843428612597,3.1373918056488037
97,0.81,0.9722222222222222,0.6532843428612597,2.8151683807373047
128,0.82,0.9731800766283526,0.6535880911147073,2.638803005218506
156,0.81,0.9722222222222222,0.6532843428612597,2.42063570022583
181,0.82,0.9731800766283526,0.6535880911147073,2.205929756164551
203,0.81,0.9732484076433121,0.6537248626746396,1.9823493957519531
223,0.83,0.9759188846641319,0.6558109307923955,1.8683390617370605
241,0.85,0.9770992366412214,0.7657043017835745,1.7153737545013428
250,0.82,0.9746192893401016,0.6548401347396323,1.6506505012512207
265,0.84,0.9758576874205843,0.7498312859105587,1.5045480728149414
279,0.85,0.9772151898734177,0.7399032198027173,1.434180498123169
292,0.84,0.9771573604060914,0.6566716365711341,1.3485324382781982
300,0.84,0.9771573604060914,0.6566716365711341,1.260868787765503
310,0.87,0.979746835443038,0.7897991831818266,1.1478588581085205
320,0.87,0.979746835443038,0.7685603685715979,1.0631203651428223
330,0.85,0.9784537389100126,0.7675769609596045,1.014479637145996
340,0.86,0.9783989834815755,0.780471330286082,0.9171946048736572
350,0.85,0.9770992366412214,0.7794655093650068,0.9793856143951416
360,0.85,0.9784537389100126,0.7805870600675631,0.7697949409484863
370,0.85,0.9772727272727273,0.7767991812796843,0.7218472957611084
380,0.87,0.9809885931558936,0.8046139979966416,0.5937058925628662
390,0.85,0.9784537389100126,0.7888046636194153,0.5048718452453613
400,0.84,0.9771573604060914,0.7665824413971931,0.5329074859619141
