processed_text,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
melalui dinar enterpreneur muda muslim siap hadapi persaingan masyarakat ekonomi asean,0,0,0,0,0,0,0,0,0,0,0,0
 front perusak islam tidak bakal demo anies sebab sama sama rusaknya apalagi ketua cabulnya kabur tidak tanggung jawab pengecut munafik hadapi proses hukum ,1,1,0,1,1,0,0,0,0,0,1,0
 dulu waktu kampanye pak jokowi berkoar koar menjanjikan tarif listrik tidak naik bahan bakar minyak tidak naik menciptakan 10000 lapangan kerja tapi nyatanya nonsens itu semua apa ini yang di bilang tidak cacat ,1,1,1,0,0,0,0,0,1,1,0,0
itu lo yang dilakukan oppa oppa korea tapi banyak yang bilang oppa korea banci tapi masa banci ikut militeran 2 tahun ,0,1,0,0,0,0,0,0,0,0,0,0
apapun masalah nya muara nya tanggung jawab presiden solusi dari solusi terbaik turunkan jokowi ,1,0,1,0,0,0,0,0,1,0,0,1
 rasanya asing kamu try dulu nanti bagi testimoni haha ,0,0,0,0,0,0,0,0,0,0,0,0
kenapa sih setiap jam jam tengah malam selalu laperrrr tak tau apa ini badan sudah sebesar apaan kalau masih ada almarhum ibu habis kali gue di ocehan punya badan gembrot seperti begini hmmmmmmmmmm ,0,0,0,0,0,0,0,0,0,0,0,0
ketika berbicara sylvi kelihatan oke tapi begitu didebat ahok sylvi langsung kekuatan goblok ,1,1,1,0,0,0,0,0,1,1,0,0
 pasti berak kamu mencret mencret doang ,0,1,0,0,0,0,0,0,0,0,0,0
 awas budek mendengarkan musik pakai headset iya iya ,0,0,0,0,0,0,0,0,0,0,0,0
 sebentar teh pagi pagi ini baru menyadari nbera i bisa dibilang sayap kiri israel lebih pro perdamaian dengan palestina dibanding sayap kanan padahal katanya adalah makin ke kanan itu lebih agamais makin kiri lebih komunis ,0,0,0,0,0,0,0,0,0,0,0,0
ributkan ekonomi salah ributkan hukum salah ributkan otoriter salah ributkan patung salah terus kami bolehnya apa pak ,1,0,1,0,0,0,0,0,1,1,0,0
 ini bukan tentang mayoritas atau minoritas tapi masalah konsep sependek pengetahuan saya tidak ada perintah dalam kitab suci kristen buddha hindu yang melarang memilih pemimpin atau teman atau pegawai di luar agama mereka ,0,0,0,0,0,0,0,0,0,0,0,0
ahok itu pak rocky kok tidak dianggap menistakan agama tora mungkin karena pak rocky orang baik pak dan dia sudah meminta maaf apa diperpanjang warganet maaf anda telah kami terima tapi proses hukum harus tetap berjalan also warganet ,0,0,0,0,0,0,0,0,0,0,0,0
 saja ditolak nu apa lagi ahok yang keturunan tionghoa dan nasrani ,0,0,0,0,0,0,0,0,0,0,0,0
 bila umur sudah 22 dan ke atas kalau ada pasangan yang betul betul sesuai janganlah jadi bodoh nak curang sebab bosan and sok on umur umur ,0,0,0,0,0,0,0,0,0,0,0,0
kacau palsu sok cantik munafik pembohongan publik sensasi dan yang pasti bencong ,1,1,1,0,0,0,0,1,0,1,0,0
12 di awal sambutannya presiden menyampaikan apresiasinya dapat be emu dengan para kader pergerakan mahasiswa islam indonesia yang diyakini memiliki semangat tinggi sebagai pemuda muslim tanah air jokowi ajak masyarakat optimis,0,0,0,0,0,0,0,0,0,0,0,0
 hanya terjadi di rezim jokowi yang dicopot harusnya kepala kepolisian republik indonesianya karena lembaga kepolisian setiap kebijakan tidak berjalan sendiri sendiri tapi ada perintah dan izin atasan ,0,0,0,0,0,0,0,0,0,0,0,0
 haha kalau kampret boleh mengatasnamakan umat sama ulama kenapa pula kalau cebong tidak boleh ,1,1,0,1,1,0,0,0,0,0,1,0
 setan sih kamu ya ,1,1,1,0,0,0,0,0,1,1,0,0
kesatuan dalam gereja katolik bersifat dinamis selaras dalam perbedaan dan mengikuti situasi kondisi dan perkembangan zaman salah satu manifestasinya adalah dispensasi untuk kawin campur pasangan katolik dan non katolik ,0,0,0,0,0,0,0,0,0,0,0,0
haha logikanya kontrak habis 2021 minat bantuan bank asing akuisisi sahamnya 51 ke luar asing masuk asing coba legowo sampai kontrak habis dapat 100 tanpa keluar duit sedikitpun entah lah entah siapa yang bermain main ,0,0,0,0,0,0,0,0,0,0,0,0
when barzan menanyakan isi surat pemberitahuan tahunan padahal praktikum surat pemberitahuan tahunan gue belum mencoba mengisi baru dasar hukum dan lain lain jadi tertara bego ,0,1,0,0,0,0,0,0,0,0,0,0
 baca berulang ulang tetap tidak nge i gara gara libur terus jadi goblok lama lama ,0,1,0,0,0,0,0,0,0,0,0,0
memang kena jadi presiden mana mana pak i baru boleh jadi pm ke ada dalam perlembagaan ke ,0,0,0,0,0,0,0,0,0,0,0,0
presiden kelima ri megawati soekarno putri mengunjungi pameran arsip konferensi asia afrika kakak dalam peringatan 63 tahun kakak yang berlangsung pada selasa rabu 17 18 4 di widya graha lembaga ilmu pengetahuan indonesia jaka a selatan megawati adalah delegasi termuda di konferensi yang,0,0,0,0,0,0,0,0,0,0,0,0
pantas saja namanya kayak tidak asing ternyata lalu ,0,0,0,0,0,0,0,0,0,0,0,0
 wah ada yang keberatan disebut cebong ya ,1,1,1,0,0,0,0,0,1,1,0,0
 ogah yang mengajak pilih jokowi pasti idiot ,1,1,0,1,0,0,1,0,0,0,1,0
ya allah sinyal axis geblek banget sudah ,1,1,0,1,0,0,0,0,1,0,1,0
 jokowi itu jongos luhut,1,1,1,0,0,0,0,0,1,1,0,0
kalau seumpama orang cina di usir paksa dari indonesia bagaimana,1,0,0,1,0,1,0,0,0,0,1,0
2017 ahok dilengserkan misi berikutnya 2018 lengserkan jokowi jaka akece,1,0,1,0,0,0,0,0,1,0,0,1
selamat sore twit hari ini 18 4 presiden jokowi memimpin rapat terbatas ratas yang membahas mengenai perkembangan persiapan asian games xviii tahun 2018 di istana kepresidenan bogor jawa barat berikut beberapa butir arahannya simak ya ,0,0,0,0,0,0,0,0,0,0,0,0
dulu waktu gue sekolah dasar murid islamnya kurang dari 10 orang tapi tetap disediakan guru agama dan musala dan dimana cisauk ini murid kristen banyak tapi enggak ada guru agama kristen pelajaran agama harus tetap di dalam kelas nilai diambil dari sekolah minggu,0,0,0,0,0,0,0,0,0,0,0,0
 kampungan ,1,1,1,0,0,0,0,0,1,1,0,0
tidak perlu teman yang genius jika yang idiot saja selalu ada untukmu dan ada fil dan kamil begadang ,0,0,0,0,0,0,0,0,0,0,0,0
presiden trump as korea utara adakan pembicaraan langsung tingkat tinggi,0,0,0,0,0,0,0,0,0,0,0,0
 terus saja kamu kunyuk ,0,1,0,0,0,0,0,0,0,0,0,0
bila mok antek tok bila mok kurus tok ,0,0,0,0,0,0,0,0,0,0,0,0
hadir pula plt gubernur jawa tengah doktorandes h heru sudjatmoko sama sih plt gubernur jawa tengah musyawarah kerja wilayah musyawarah kerja wilayah pengurus wilayah nahdlatul ulama jawa tengah 2018 nahdlatul ulama jawa tengah musyawarah kerja wilayah nahdlatul ulama jawa tengah 2018 musyawarah kerja wilayah pengurus wilayah nahdlatul ulama jawa tengah 2019 ,0,0,0,0,0,0,0,0,0,0,0,0
 aduh gue baru sadar 501 pas praktik 5 jari buat huruf o dan kontol ,0,1,0,0,0,0,0,0,0,0,0,0
 bibit lgbt sudah tumbuh sejak sama ,0,0,0,0,0,0,0,0,0,0,0,0
ganjar pranowo dilaporkan ke polisi ,0,0,0,0,0,0,0,0,0,0,0,0
 kang aher berhasil kartu perlindungan sosial dengan bandara internasional jawa barat untuk meningkatkan ekonomi rakyat jabar untuk pembangunan generasi milenial nya ini yang nyata,0,0,0,0,0,0,0,0,0,0,0,0
ini setelah terjadi tarik ulur terkait beda pandangan soal definisi terorisme antara satu fraksi dengan fraksi lainnya di dewan perwakilan rakyat ,0,0,0,0,0,0,0,0,0,0,0,0
ini jalan dua platform ya dimana facebook juga jalan bom yang gede kalau mau dapat ,0,0,0,0,0,0,0,0,0,0,0,0
bahaya pagi pagi sudah mules semoga cuma mau tai bukan haid ,0,0,0,0,0,0,0,0,0,0,0,0
 hanya orang islam yang bodoh dan goblok yang memilik ahok debat final pemilihan kepala daerah jakarta,1,1,1,0,0,0,0,0,1,1,0,0
 gue semua cerita bangsat suka sekalipun yang sad akhir sampai mewek benaran gue bacanya gembel banget enggak sih wkwk ,0,1,0,0,0,0,0,0,0,0,0,0
 kemarin momoland sekarang ingin one tidak suka banget lihat orang sukses babi memang warganet ,1,1,1,0,0,0,0,0,1,1,0,0
 jangan maaf sama saya bang kan kita adalah tidak ada salah haha insyaallah iya bang walau saya orang hina tetapi kalau sudah menyangkut ulama adalah sudah tidak bisa di tawar tawar kita bela mudah mudahan orang hina kayak si,0,0,0,0,0,0,0,0,0,0,0,0
1 gusur ahok 2 lengserkan jokowi,1,0,1,0,0,0,0,0,1,0,0,1
aduh kasihan sok kritis malah kelihatan kayak orang bego otak kamu juga kritis itu sudah stadium 4 kali sakit nya ,1,1,1,0,0,0,0,0,1,1,0,0
pusat tahfiz perlu ditingkatkan dikawal selia dan diperkasakan bukan ditutup dan begitulah juga halnya dengan sekolah sekolah cina dan tamil ,0,0,0,0,0,0,0,0,0,0,0,0
tiga isu penting tuan guru bajang zainul majdi justru karena tiga isu itu satu kesatuan kuatkan ekonomi umat sejahterakan rakyat kecil dan budayakan pancasila ,0,0,0,0,0,0,0,0,0,0,0,0
 we ada pipis onta tercecer di mari pantas bau pesing ,0,1,0,0,0,0,0,0,0,0,0,0
mendengar jawaban itu ibnul mubarak dalam dianya selalu memohon demikian ya allah tunjukanlah ia dalam islam dan beberapa saat kemudian sih yahudi itupun dengan izin allah akhirnya masuk islam ,0,0,0,0,0,0,0,0,0,0,0,0
owner di sini seo sama tai adminnya masih hiring sayang 3 xbcs ,0,0,0,0,0,0,0,0,0,0,0,0
capai 96 presiden jokowi akan tinjau progres pembangunan bandara ke ajati ,0,0,0,0,0,0,0,0,0,0,0,0
