processed_text,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
 kasus hukum sih antek susilo bambang yudhoyono kapan diperiksa ,0,0,0,0,0,0,0,0,0,0,0,0
sah sah saja kalau fahri hamzah ingin bubarkan komisi pemberantasan korupsi karena ott bikin gaduh padahal yang gaduh kan koruptornya yang bersih tidak gaduh pak jokowi yang salah ,1,0,1,0,0,0,0,0,1,1,0,0
coba kamu larang ateis republik menista menodai melecehkan memerkosa ajaran agama kamu haha mana kamu sanggup adu argumen dengan generasi sains canggi dunia tuhan saja mereka tidak akui dasar melayu goblok ,1,1,0,1,0,1,0,0,0,0,1,0
 pengungsi asing bukan pengungsi asing dodol ,1,1,1,0,0,0,0,0,1,1,0,0
 indonesia 99 tetap ganti presiden kampanye di ruhut 2019 ganti presiden 2019 ,0,0,0,0,0,0,0,0,0,0,0,0
 wkwk terbayang monyet kera sakti ,0,0,0,0,0,0,0,0,0,0,0,0
 dari kemarin sudah terbahak lihat kebodohan km kok panas bagaimana sudah di bilang kalau berkata keadaan sendiri itu pada orang lain di ulang dungu betul cebong ini x,1,1,1,0,0,0,0,0,1,1,0,0
sejak awal janji kampanye nya bulan jae in memang memperbaiki hubungan dengan korea utara kok makanya dia pilih approach untuk hold proyek ustaz sejak masa kampanye dan yang bikin runyam hubungan korsel korea utara tahun lalu ya karena congor trump saja ,0,1,0,0,0,0,0,0,0,0,0,0
dear dik selamat ya atas pencapaian ini semoga bisa dipe ahankan terus jangan kasih kendor dik 2019 ganti presiden ,1,0,1,0,0,0,0,0,1,1,0,0
lain betul suasana hati mengantuk tapi kena belajar sebab besok exam nih tikus tidak function kena ampas ingin putus putus kena kasih patah terus ,0,0,0,0,0,0,0,0,0,0,0,0
kemarin di siantar di copot spanduk mu sekarang curi curi kampanye di tengah demo mana panitia pengawas pemilu nih sih djarot main curang kampanye di tengah demo buruh tindak tegas pasangan calon curang no 2 keren register 40 pilihan gubernur sumatera utara 2018 pilihan kepala daerah sumatra utara ,1,0,1,0,0,0,0,0,1,0,0,1
 kapten tim kalian menangis dipe andingan terakhir gara gara gagal menang kapten tim kami saat pe andingan lawan tim kalian di ,0,0,0,0,0,0,0,0,0,0,0,0
 habis gelap terbitlah terang road to 2019 ganti presiden harika ini2018,1,0,1,0,0,0,0,0,1,1,0,0
 ulama bukan pewaris para nabi kecuali jika dia bisa jadi khalifah qs 38 26 karena daud as sudah jadi rasul dan nab allah subhanahu wa taala bahkan dianugerahi lagi sebagai khalifah presiden gubernur bupati atau wali kota ,0,0,0,0,0,0,0,0,0,0,0,0
tidak boleh be emu orang baru dulu awalnya kita adalah orang baru manusia asing tak saling kenal kenapa tidak ada kemungkinan orang baru itu bisa menggantikan posisi kita lebih baik menghindari untuk menjaga hati ,0,0,0,0,0,0,0,0,0,0,0,0
segera kita kudeta dan revolusi lengserkan rezim jokowi sebelum panglima dan kepala kepolisian republik indonesia di ganti jika tentara nasional indonesia kepolisian republik indonesia di pimpin nasakom bahaya ,1,0,1,0,0,0,0,0,1,0,0,1
 bedanya yang dulu kepemilikan ri hanya kurang dari 10 yang sekarang lebih dari 51 perlu diketahui freepo bukan maling ia perusahaan resmi yang diberi izin syah oleh rezim terdahulu,0,0,0,0,0,0,0,0,0,0,0,0
gerakan komunis yang sedang berlangsung di persembunyiannya apa kabar kah anti jaringan islam liberal anti syiah anti komunis kembalikan media islam ,1,0,0,1,1,0,0,0,0,0,1,0
tidak usah banyak protes apa anies konsisten dengan janji kampanye kalau janji tidak terealisasi harusnya di batalkan jadi gubernur,1,0,1,0,0,0,0,0,1,1,0,0
 bokep cewek bispak bandung ngentot crot di dalam dan mengunduh full ,0,1,0,0,0,0,0,0,0,0,0,0
 perut buncit itu bukan karena kebanyakan tidur cebong mana nge i ,1,1,1,0,0,0,0,0,1,1,0,0
 bera i tidak sala cebong pintar pintar nna kalau sih kampret bagaimana dari dulu tidak maju maju cuma otak udang di pakai gede badan doang wajarlah kalau petinggi petinggi kampret pinda haluan,1,1,0,1,0,0,0,0,1,0,1,0
 ini sudah termasuk teror bukan aparat inimah tapi keparat politik bahasanya mafia politik hati hati bos kami tidak takut ancaman intimidasi demokrasi kepolisian republik indonesia dan kucing dan ,1,1,0,1,0,0,0,0,1,0,1,0
kami orang awam saja tau kasus itu rekayasa tempo antek nya asing saatnya pimpinan partai keadilan sejahtera sekarang sadar kamu dukung panitia khusus bongkar tipu tipu nya komisi pemberantasan korupsi,1,0,0,1,0,0,0,0,1,0,1,0
 bangga jadi jongos memang kamu sendiri sudah apa saja babu jilat memek busuk jablay alexis ,1,1,1,0,0,0,0,1,0,1,0,0
ini kantor apa tempat pembuangan sih anjir bau bangkai banget bangsat ,1,1,0,1,0,0,0,0,1,0,1,0
 provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibukota beginilah cara cebong mendeskripsikan kekalahan junjungannya for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayoritas,1,1,1,0,0,1,0,0,0,1,0,0
 indonesia itu musibah buat umat islam tetapi berkah buat orang cina amp kristen,1,0,0,1,1,1,0,0,0,0,1,0
 sesama koreng dilarang saling menghina ,0,1,0,0,0,0,0,0,0,0,0,0
 27 tahun jadi warga jawa tengah baru ini dengar forum umat islam bersatu kamu mau mengusir arik pilihan kepala daerah jawa tengah hanbok mengusir arik telur saja kenapa ben kenyang nek ngelih sok bodoh soalnya ,1,1,0,1,0,0,0,0,1,0,1,0
 am,0,0,0,0,0,0,0,0,0,0,0,0
 mata yang sipit ya walaupun banyak yang bilang sipit dan semacamnya but i just love my eyes sok much ,0,0,0,0,0,0,0,0,0,0,0,0
kamu pendidikan tinggi tapi bodoh tidak ada larang bawa agama biar orang islam yang di bayar ahok sadar tidak jadi memilih ahok gila,1,1,1,0,0,0,0,0,1,1,0,0
batalkan pelantikan anies angkat soemarsono jadi plt gubernur cc ,1,0,1,0,0,0,0,0,1,1,0,0
 tidak asing dengan corak kayu coklat nya haha ,0,0,0,0,0,0,0,0,0,0,0,0
 bangkai apa itu mas ,0,0,0,0,0,0,0,0,0,0,0,0
tangkap pengunggah obrolan mesum kasus rekayasa rekayasa kelompok kiri pesanan sih kiri untuk tujuan kekuasaan sih kiri lengserkan jokowi,1,0,1,0,0,0,0,0,1,0,0,1
 ada teman gue lesbi tapi tidak sampai trauma juga xari teman baru saja tidak semua cewek yang tampangnya agak laki itu lesbi kok ,0,0,0,0,0,0,0,0,0,0,0,0
 kalau kita tak paham hari ini kita paham bahwa betapa tingginya ilmu ulama dulu sampaikan kita pun tak paham tg ahmad ridauddin,0,0,0,0,0,0,0,0,0,0,0,0
 yang sombongkan situ kampret cebong adalah rendah hati dan rajin mengaji ,1,1,1,0,0,0,0,0,1,1,0,0
idiot enggak punya kompetensi bicara tentang kanker ,1,1,1,0,0,0,1,0,0,1,0,0
 asal setia bayar pajak dan uang pajaknya tidak untuk bayar upah orang orang yang mau mengubah undang undang komisi pemberantasan korupsi,1,0,0,1,0,0,0,0,1,0,1,0
yakin tuan guru bajang zainul majdi mampu 2019 ganti presiden 2019 presiden baru,0,0,0,0,0,0,0,0,0,0,0,0
