Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
131,0.7312,0.2228,0.123,0
1172,0.8867,0.6171,0.4234,0
2109,0.9012,0.6892,0.4907,0
2952,0.8998,0.7063,0.5172,0
3711,0.9036,0.7173,0.5568,0
4394,0.9098,0.7337,0.5823,0
5009,0.9115,0.744,0.5981,0
5562,0.9144,0.7502,0.6151,0
6060,0.916,0.7506,0.6375,0
6508,0.9113,0.7531,0.6557,0
6584,0.9129,0.7531,0.6447,0
6980,0.916,0.7544,0.639,0
7336,0.9208,0.7629,0.6595,0
7656,0.9194,0.7619,0.6479,0
7901,0.9183,0.7663,0.6798,0
8165,0.9194,0.7645,0.6489,0
8402,0.9214,0.7681,0.6754,0
8616,0.9228,0.7701,0.6879,0
8816,0.9194,0.768,0.6351,0
9016,0.923,0.7723,0.6745,0
9216,0.9194,0.7726,0.6768,0
9218,0.9224,0.775,0.6827,0
9418,0.9208,0.7719,0.6887,0
9618,0.9226,0.7756,0.6925,0
9818,0.9244,0.7766,0.6894,0
10018,0.9242,0.7744,0.6757,0
10218,0.9239,0.7764,0.6696,0
10418,0.9212,0.7758,0.7011,0
10535,0.9259,0.7789,0.6687,0
