Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
1316,0.8918,0.6649,0.4268,0
2238,0.8999,0.7066,0.5268,0
3068,0.9046,0.7218,0.5686,0
3815,0.9082,0.7396,0.5959,0
4487,0.9151,0.7519,0.6148,0
5092,0.9133,0.7456,0.6381,0
5637,0.9169,0.7517,0.6414,0
6127,0.9128,0.7548,0.6588,0
6568,0.9163,0.7576,0.6389,0
6584,0.9176,0.7567,0.6718,0
6980,0.9161,0.7579,0.6634,0
7336,0.9192,0.7642,0.6677,0
7656,0.9198,0.7627,0.6685,0
7901,0.9211,0.7702,0.6866,0
8165,0.9206,0.7699,0.6781,0
8402,0.9212,0.7702,0.6824,0
8616,0.9214,0.7645,0.6914,0
8816,0.9227,0.7724,0.6755,0
9016,0.9211,0.7679,0.6741,0
9216,0.923,0.7746,0.673,0
9218,0.9203,0.7741,0.6896,0
9418,0.9236,0.7757,0.6862,0
9618,0.9216,0.774,0.6887,0
9818,0.9236,0.777,0.6738,0
10018,0.9246,0.777,0.6826,0
10218,0.9217,0.7737,0.7012,0
10418,0.9209,0.7747,0.6753,0
10535,0.9244,0.7769,0.6833,0
