processed_text,ac,air_panas,bau,general,kebersihan,linen,service,sunrise_meal,tv,wifi
Tolong kebersihannya lebih d jaga karena pas sayamasuk ruangan sdah bau rkok. trus handuk tidak putih bersih mlah kucel.  tolong sediain tissue.  dan juga klo ada kerusakan tlong segera d perbaiki sperti kapstok d kamar mandi dan jg wifi. wifi nya tidak connect.  thank u..,neut,neut,neg,neut,neg,neg,neut,neut,neut,neg
sangat mengecewakan. gambar di aplikasi sama kenyataan kamarnya berbeda jauh. kamarnya jelek lantainya hanya semen cor2an gak tehel.aplikasi airy blg maksimal tamu 2 org 1 kamar.tp itu pas mw cek in bilangnya aku cm pilih 1 org trus dimintai cars 50ribu lagi.pokonya ga mau kesitu lagi.recepsionis nya juga tdk ramah .,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
"tidak ada housekeeping, wifi lamban semua sesuai dengan fasilitas sudah ada seperti di pemesanan",neut,neut,neut,neut,neut,neut,neg,neut,neut,neg
Wifi tidak tertangkap,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"Kecewa banget sih di hotel ini, ac mati, jelek lah pokoknya ga nyaman gua nginep di situ dan kalo booking airy ga bakal disono lagi cih",neg,neut,neut,neg,neut,neut,neut,neut,neut,neut
"lokasi hotel strategis, tapi mohon ditungkatkan utk kebersihan kamar",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"handuk dikamar hanya 1 padahal pesan untuk 2 orang, beberapa kali minta ke resepsionis dan room boy tapi tidak di antar bahkan sampai chek out. beberapa fasilitas seperti rak handuk dikamar mandi rusak, pintu kaca sebaiknya ditambahkan gorden atau diganti dengan pintu biasa, kalau siang panas karena kaca. sprei dan bantalnya kotor penuh daki.",neut,neut,neut,neut,neut,neg,neg,neut,neut,neut
Kamar bersih dan nyaman. cuman sayang air panasnya mati dan mohon untuk memberikan petunjuk arah kiblat agar memudahkan muslim menjalankan sholat. Selebihnya good service.. thanks airy ð ,neut,neg,neut,pos,pos,neut,neut,neut,neut,neut
wifi nya kurang. sama bnyk nyamuk,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"Wfi tidak bisa di access, AC bocor dan banyak semut merahnya",neg,neut,neut,neut,neut,neut,neut,neut,neut,neg
"kamarnya bagus banget. cuma pas pertama masuk, aromanya agak nggak enak. seperti lama nggak dipakai. mungkin pengharum ruangannya bisa diganti. tapi over all, bagus.",neut,neut,neg,pos,neut,neut,neut,neut,neut,neut
"Pengalaman  pertama  menggunakan fasilitas airy pemesanan dan pembayaran mudah. Fasilitas  lumayan tp sayangnya tdk ada konfirmasi masalah sarapannya, jdi sy dan istri trpaksa sarapan di luar.",neut,neut,neut,neut,neut,neut,neut,neg,neut,neut
"tempatnya nyaman,cuma channel TV nya burem g jelas jd g ada bt hiburan",neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
"saya stay 3 hari, tapi snacknya cuma sekali doang heheheh",neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"bagus,bersih,sedikit bau aroma kamarnya..",neut,neut,neg,neut,pos,neut,neut,neut,neut,neut
"Pelayanan ramah customer service ramah. Cuma bantal kecil agak bau dan selimutnya juga, pintu kamar ",neut,neut,neut,neut,neut,neg,neg,neut,neut,neut
"wifi gratis cuma di lobby, kamar mandi ada serangganya, kamar bau rokok, channel tv lengkap, kamar cukup bersih, sandal hotel putus",neut,neut,neg,neut,pos,neut,neut,neut,pos,neg
ac nya kamar 309 bocor,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
snack kamar tidak tersedia saat saya menginap,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
Airnya berbau,neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
AC kurang dingin ,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
semua fasilitas dr kasur dan ruangan ok. yg buat saya kecewa wifi nya tdk bisa masuk ruangan kamar saya dan costumer service tidak melayani saya dngn baik. komplenan saya di abaikan. dan  akhirnya saya cape komplen terus. saya sudah menganjurkan pindah ruang tapi saya di abaikan dan tdk di izinkan pindah ruang mohon untuk costumer servis di perbaik,neut,neut,neut,neut,neut,neut,neg,neut,neut,neg
kamar nya oke bagus rapi.ac dingin. ramah.tapi wifinya parah gk bisa dipake..,pos,neut,neut,neut,neut,neut,pos,neut,neut,neg
"Bersih, nyaman, tapi WiFi lola banget ",neut,neut,neut,neut,pos,neut,neut,neut,neut,neg
sebaiknya pelayanan lebih ditingkatkan,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
"kamar yg didapat tidak sesuai yg di foto & sangat bau rokok. dapat informasi tnyata memang tidak ada larangan utk merokok di dalam kamar. biarpun sdh pakai pewangi ruangan, baunya tetap tdk hilang. akhirnya kami putuskan untuk pindah penginapan.harap menjadi perhatian khusus. trimakasih",neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
"Tempat horor banget... Kotor.. Kamar mandi kotor, air banyak cu.. Alias kotor.. Tembok mohon di cat ulang.. Ahh pokoknya harus banyak yg diperbaiki sih.. Dari kamar, ke bersihan Lantai, ac, toilet, Tempat tidur.. ",neg,neut,neut,neg,neg,neut,neut,neut,neut,neut
Hotel paling parah!! tidak lagi dah menginap disini...kamar bau apek...handuk tambahan bau badan orang...sprei bau badan...ac panas...parahhhhh......!!! Komplain ke Airy Room tidak ada dispensasi apapun!!! Itu komen bagus2 mungkin orang sendiri yang isi...,neg,neut,neg,neut,neut,neg,neg,neut,neut,neut
Pelayanan kurang baik,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
Spreinya ada bekas noda dan lusuh seperti habis di pake tamu lain terus tidak di ganti mungkin. Terus bau apek sampai saya harus turun ambil parfum mobil. Pintu tidak dapat di kunci dari luar.,neut,neut,neg,neut,neut,neg,neut,neut,neut,neut
Murah sih tapi kamarnya ada yg bocor dan perabotan kotor.,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
