processed_text,ac,air_panas,bau,general,kebersihan,linen,service,sunrise_meal,tv,wifi
"tidak ada cemilan, perlengkapan mandi yg biasa jadi ciri khas airy rooms tidak ada, jedela tisak ada korden",neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"room tidak sesuai gambar. lampu kamarnya redup, kamar mndi jg redup lampunya. wifinya g bisa. dn kamarnya pengap",neut,neut,neg,neut,neut,neut,neut,neut,neut,neg
Kamarnya bau rokok. Dan seprai tidak diganti untuk tamu baru karena msh ada bekas abu rokoknya.,neut,neut,neg,neut,neut,neg,neut,neut,neut,neut
ruangan berbau asap rokok. selimut banyak rambut rambut yang menempel. air panas tidak menyala. namu,neut,neg,neg,neut,neg,neut,neut,neut,neut,neut
tempatnya nyaman tapi kekurangannya disaluran kamar mandi yg mengeluarkan bau kurang sedap,neut,neut,neg,pos,neut,neut,neut,neut,neut,neut
"kamar nyaman, cari makan mudah, tp ko sinyal di dalam kamar agak susah ",neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
"sprei kotor bernoda sepertinya tidak diganti,  di laci bnyak puntung rokok,  tidak ada sajadah",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
1. Dari Kamar Mandi air menggenang di lantai kamar mandi jadinya banjir smpek meluber ke kamar dan mayan ngepel setiap abs mandi 2. Wifi sebelumnya pernah nginep di sini wifinya kenceng mayan lah sekarang connect sih tp ga bs apa2 udh protes ke pengelola tp sm aja 3. slh 1 oknum penjaga keamanan meminta uang parkir sungguh membuat tidak nyaman,neut,neut,neut,neut,neg,neut,neg,neut,neut,neg
"air kamar mandinya panas ga bisa jd dingin, g ada room cleaning (sy 2n2d tinggalnya), wifinya ngga nyambung padahal password udah bener",neut,neg,neut,neut,neut,neut,neut,neut,neut,neg
Lumayan recommended . Tetapi tiap hari tidak dikasih minuman serta makanan ringan. Hanya 1x saja pas,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
bersih...... ok.....cuma tumben snacknya tidak ada,neut,neut,neut,neut,pos,neg,neut,neut,neut,neut
"kamar bersih,air panas lancar hanya saja siaran tv lokal saja.selebih nya ok deh...",neut,pos,neut,pos,pos,neut,neut,neut,neg,neut
"hotel jorok ....banyak nyamuk...karyawanny berisik,lokasi jg susah dicari,ngk nyaranin deh untuk nginap disini....udh tuh ada razia jg lagi...pdhl lg enk2 tidur....so buat kalian saya ng nyaranin....",neut,neut,neut,neut,neg,neut,neg,neut,neut,neut
