processed_text,ac,air_panas,bau,general,kebersihan,linen,service,sunrise_meal,tv,wifi
lokasi hotel strategis dekat mall SKA. kamar tidak terlalu luas namun cukup bersih. kamar mandi pun sempit. hot shower airnya panas. menu breakfast bervariasi banyak dan enak. wifi tidak bs konek.,neut,pos,neut,neut,pos,neut,neut,pos,neut,neg
"resepsionis ny parah jam 12 mlm blm bisa tidur wifi sm tv kabel dimatiin jadi cuma bisa nonton semut sambil nyari semut di kamar,mana pintu keluar dikunci jd gk bisa cari makan atau pesen gofood.tp parah soal tp sm wifi",neut,neut,neut,neut,neut,neut,neg,neut,neg,neg
saya dri jm 9 pagi sudah di usir untuk chekout. dengan alasan ada tamu lagi.,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
Air panas tidak lancar. ,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"Kamar yang Saya dapat beda dengan gambar, tanpa jendela. kamar mandi baunya agak kurang sedap, pintunya jg trouble",neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
"kamarnya mantap, cuma airnya tidak panas....tapi over all  memuaskan",neut,neg,neut,pos,neut,neut,neut,neut,neut,neut
"+ kamar cukup luas, terjangkau, sarapan bervariasi, ada kulkas+teko air pns, hot shower, ac dingin, lokasi strategis, lift - channel tv sedikit, ada liat kecoa kecil 1, hari 1-2 ga dpt snack, hari 4 ga dbersihkan n ga dpt mnm+snack, kalo panggil housekeeping lamaaaaaaa but overall bagus, akan mnginap lg dsni krn kmr bsr, bersih, murah, srpan enak",pos,pos,neut,pos,neg,neg,neut,pos,neg,neut
linen nya terasa agak gatal... mungkin kurang bersih sewaktu pencucian,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
"kamar tidur bagus, lengkap, tp kamar mandi bau.. dari pembuangan air ..",neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
"kamar bocor,  air panas ga nyalah,  ac tidak dingin, ",neg,neg,neut,neut,neut,neut,neut,neut,neut,neut
"viewnya bagus . overall tempat kurang terawat, ternyata toilet camping room berada diluar wlwpun keterangan di traveloka private bathroom, toiletnya tidak terawat sehingga shower karatan dan keramik lantai berkerak, saya complain kalau tv tidak hidup dicek oleh resepsionis katanya wifi sdg bermasalah sehingga tv tidak hidup akhirnya saya kutak atik sendiri saya ganti batre ternyata hidup mungkin resepsionisnya males cek ke room karna dari room ke resepsionis jauh, dan di room tidak ada telpon sehingga kalau kita mau kontak resepsionis/cleaning service harus jalan k resepsionis. tdk ada akses jalan terdekat kepantai dan waterboom jadi males banget mau turun ke pantai/waterboom. breakfast hanya nasi goreng+ayam+telor dadar+nutrisari jeruk",neut,neut,neut,neg,neg,neut,neg,neg,neg,neg
air panas tidak ada,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"Sinyal Wifi tidak terlalu kuat, mohon diperbaikin untuk sinyal wifi",neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
TV gak bisa di pakai  sinyal parabola nya lemah,neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
