Data Used,Aspect Accuracy,Aspect F1 Micro,Aspect F1 Macro,Sentiment Accuracy,Sentiment F1 Micro,Sentiment F1 Macro,Accuracy,F1 Micro,F1 Macro,Sampling Duration
142,0.8447916507720947,0.9096787229743383,0.9015906747158441,0.6659619212150574,0.6659619450317125,0.6563764437578165,0.828546404838562,0.8285464098073556,0.40608546209431023,0.0
357,0.9189236164093018,0.9510430862773875,0.94752706896303,0.8802902102470398,0.8802902055622733,0.8381460724134864,0.9113835096359253,0.91138353765324,0.6586831550544565,30.784592151641846
550,0.9407986402511597,0.9637658059717352,0.9606649649674806,0.8942408561706543,0.8942408376963352,0.8556039096452188,0.9338003396987915,0.933800350262697,0.7869014951765763,42.81668782234192
724,0.9487847089767456,0.9685467533852222,0.9658917979236893,0.9170040488243103,0.917004048582996,0.8893387314439947,0.9436076879501343,0.9436077057793344,0.8331617893320201,39.286810636520386
880,0.956944465637207,0.9733505265420159,0.9706906398701516,0.9037736058235168,0.9037735849056604,0.8747886508396062,0.9506129622459412,0.9506129597197898,0.843609885818412,35.06882309913635
1021,0.9597222208976746,0.9750161533491277,0.9725520895077571,0.9074074029922485,0.9074074074074074,0.8813661348647355,0.953765332698822,0.9537653239929946,0.8600340332103308,31.647292375564575
1148,0.9618055820465088,0.9762931034482759,0.9739771326435293,0.9116021990776062,0.9116022099447514,0.8858269268677311,0.9558668732643127,0.9558669001751312,0.8684218218739085,28.456788539886475
1262,0.9631944298744202,0.9771699332328236,0.9746929376315727,0.9203703999519348,0.9203703703703704,0.8970521079489784,0.957618236541748,0.9576182136602451,0.8688041707559975,25.57074785232544
1365,0.9633680582046509,0.9772212026341359,0.9752462104529573,0.9066182971000671,0.9066183136899365,0.8817278853351073,0.9562171697616577,0.9562171628721542,0.8700945777019717,22.285070180892944
1427,0.964756965637207,0.9781226425261343,0.9756487077969265,0.919043242931366,0.9190432382704692,0.8967604344747795,0.9588441252708435,0.9588441330998249,0.8818718420904222,19.995985746383667
1513,0.9644097089767456,0.9778402334882715,0.9755606628871092,0.9058296084403992,0.905829596412556,0.8772516961440834,0.9583187103271484,0.9583187390542907,0.8804127256038454,18.50954556465149
1590,0.9635416865348816,0.9773316062176166,0.974926665305993,0.9118982553482056,0.9118982742960945,0.885584899353665,0.9581435918807983,0.9581436077057793,0.8743271064646205,16.486647844314575
1660,0.9645833373069763,0.9779792746113989,0.9758737393435164,0.9128856658935547,0.9128856624319419,0.8861531044457455,0.9590192437171936,0.9590192644483363,0.8803211427796531,14.703339338302612
1712,0.9642361402511597,0.97778736251887,0.9754746653557846,0.9111721515655518,0.9111721611721612,0.8860168192016529,0.9579684734344482,0.9579684763572679,0.8635068616915363,13.181721925735474
1770,0.9659722447395325,0.9789020452099031,0.977013411992038,0.9274418354034424,0.9274418604651162,0.904942319203352,0.960945725440979,0.9609457092819614,0.8726411237936276,11.835315465927124
1822,0.9664930701255798,0.9791958607308398,0.9771164007770106,0.9164370894432068,0.9164370982552801,0.8907563025210083,0.9600700736045837,0.9600700525394046,0.8705096561834802,10.74107575416565
1872,0.9644097089767456,0.9779023391182494,0.9758052644262374,0.9181985259056091,0.9181985294117647,0.8933708027251934,0.9588441252708435,0.9588441330998249,0.8781846577271253,9.527951002120972
1922,0.9668402671813965,0.9794158853324711,0.9775262912664265,0.9235727190971375,0.923572744014733,0.8997971219102778,0.9612959623336792,0.9612959719789842,0.8936286454536757,8.66059398651123
1972,0.9654513597488403,0.9785305858237134,0.9764339803735609,0.9206204414367676,0.9206204379562044,0.8957891389095629,0.9602451920509338,0.960245183887916,0.8795987504846314,7.79259181022644
1997,0.9657986164093018,0.9787279991361624,0.9765324864774222,0.91576087474823,0.9157608695652174,0.8899067222394383,0.960595428943634,0.9605954465849387,0.8806180584528326,6.873027563095093
2047,0.9645833373069763,0.9779459459459461,0.9756505904378464,0.9094170331954956,0.9094170403587444,0.8842392002672629,0.9590192437171936,0.9590192644483363,0.8909991461765978,6.368564605712891
2097,0.9661458134651184,0.9789621318373072,0.9770230397702242,0.9169707894325256,0.916970802919708,0.8917530864197531,0.9604203104972839,0.9604203152364272,0.879647475465654,5.578221559524536
2147,0.9664930701255798,0.9791599179354281,0.9770604435582897,0.9139492511749268,0.9139492753623188,0.8883037354562155,0.9600700736045837,0.9600700525394046,0.8759327172000011,4.559148788452148
2197,0.9666666388511658,0.9792342634652823,0.9770518935939251,0.9151027798652649,0.9151027703306523,0.8917200825862914,0.960945725440979,0.9609457092819615,0.8745536900298682,3.693058967590332
2247,0.9677083492279053,0.9799179442884905,0.978164304301371,0.9165911078453064,0.9165911151405258,0.8911808862008321,0.9616462588310242,0.961646234676007,0.8915189425291068,2.7910666465759277
2283,0.965624988079071,0.9786453839516823,0.9766782336708536,0.9194876551628113,0.9194876486733761,0.8962819185645272,0.9598948955535889,0.9598949211908933,0.8607344895738518,1.8617908954620361
