Data Used,Accuracy,F1 Micro,F1 Macro,Sampling Duration
777,0.8813,0.733,0.7279,0
1322,0.8856,0.7275,0721,36.87
1812,0.8913,0.7397,0.7385,33.25
2253,0.8881,0.7563,0.7587,30.82
2650,0.8905,0.7557,0.7558,27.38
3007,0.8964,0.7655,0.7611,24.88
3329,0.8983,0.7731,0.7706,22.29
3618,0.9008,0.7777,0.7779,20.08
3878,0.8975,0.7779,0.7789,18.18
3886,0.9006,0.7775,0.7749,16.42
4120,0.9,0.7758,0.7746,16.31
4330,0.9003,0.7808,0.7812,14.85
4530,0.9056,0.7847,0.7836,13.44
4663,0.9041,0.7838,0.7844,12.15
4863,0.8975,0.7828,0.7828,11.13
5063,0.8997,0.7871,0.7888,9.92
5263,0.8955,0.7751,0.7762,8.61
5441,0.9025,0.7867,0.7894,7.34
5641,0.9052,0.782,0.7741,6.18
5841,0.9073,0.788,0.7819,4.85
6041,0.9031,0.7894,0.7871,3.56
6218,0.9019,0.7851,0.783,2.21
