processed_text,1-FR,2-GI,3-PI,4-DM,5-EDTRB,6-RE
halo rizal radang tenggorokan umunya disebabkan karena infeksi infeksi tersebut dapat oleh virus ataupun bakteri jika karena bakteri umumnya memerlukan antibiotika jika karena virus maka tidak perlu antibiotika dan hanya memerlukan pengobatan suportif untuk mennjang kekebalan tubuh penanganan secara umum pastikan anda cukup istirahat jangan makan makanan berminyak gorengan pedas makan makanan bergizi wajib minum banyak air putih berkumurlah dengan air garam cukup sdk teh untuk cc air tiap jam sekali nyeri dan demam dapat dikurangi dengan parasetamol atau ibuprofen jika diperlukan dokter dapat meresepkan anda dengan antibiotika dan antiradang obat yang anda sampaikan sudah merupakan obat yang umum dipakai pada radang tenggorokan amoksisilin merupakan antibiotika hanya bermanfaat pada kasus yang disebabkan oleh infeksi bakteri penambahannya umumnya tidak berbahaya kecuali jika nada alergi dengan amoksisilin tetapi sebaiknya konsultasikan dulu dengan dokter anda karena penggunaan antibiotik sembarangan akan memicu terjadinya resistensi kekebalan kuman terhadap antibiotik sakit tenggorokan demikian yang dapat saya sampaikan semoga bermanfaat,1,0,1,1,1,0
halo hellas cacar air merupakan suatu penyakit yang disebabkan oleh virus varisela penyakit ini biasanya menyerang anak anak dibawah umur tahun dengan gejala sebagai berikut timbulnya ruam kemerahan pada tubuh demam pegal pegal sakit kepala kelelahan biasanya tidak diperlukan penanganan khusus pada kasus ini dikarenakan virus ini akan hilang dengan sendirinya biasanya dapat memakan waktu hari obat obatan yang biasa dipakai adalah obat penurun panas seperti paracetamol atau iburofen dokter juga dapat memberikan obat antivirus seperti acyclovir untuk mempercepat kesembuhan namun acyclovir bukan merupakan obat bebas sehingga diperlukan resep dari dokter untuk mendapatkannya berikut hal hal yang dapat dilakukan minum obat penurun panas istirahat yang cukup minum air putih yang cukup agar terhindar dari dehidrasi berolahraga secara teratur mengkonsumsi makanan yang sehat dan bergizi untuk menjaga daya tahan tubuh untuk mengetahui lebih lanjut mengenai cacar air silahkan baca artikel berikut cacar air semoga bermanfaat dr nugraha mauluddin,1,0,1,1,1,0
halo rory terimakasih atas pertanyaan anda perlu anda ketahui sebelumnya bahwa semua gangguan yang terjadi pada kulit harus dilakukan serangkaian pemeriksaan secara langsung untuk memastikan diagnosis nya kondisi yang anda alami dapat disebabkan oleh berbagai macam hal diantaranya sebagai berikut ini eksim kudis kulit kering xerosis reaksi alergi dan iritasi gigitan serangga atau parasit kondisi psikologis dll cobalah cara cara berikut ini untuk mencegah gatal pada kulit kembali yaitu jaga kebersihan tubuh dengan mandi minimal kali sehari hindari makanan pedas dan konsumsi kafein gunakan sprei dengan bahan yang tidak panas dan bersih kelola stress psikologis oleskan losion pada tubuh setelah mandi untuk menjaga kulit tetap lembap dll jika kondisi ini terus menghampiri dan semakin memburuk maka segeralah kunjungi dokter spesialis kulit agar dilakukan serangkaian pemeriksaan lebih lanjut sehingga penyebab pasti dari keluhan anda ditemukan dan penanganan yang optimal dapat diberikan klik artikel dibawah ini untuk lebih jelasnya gatal pada kulit demikian penjelasan yang dapat kami sampaikan semoga bermanfaat salam dr jati,1,0,1,1,1,0
ali lia manis terimakasih telah bertanya dengan alodokter dokter memerlukan informasi tambahan mengenai keluhan yang anda rasakan seperti berapa usia anda sudah berapa lama keluhan tersebut anda rasakan apakah terasa perih atau perasaan tidak nyaman di daerah uluhati apakah ada nyeri pada perut apakah menggunakan alat kontrasepsi apakah ada gangguan atau keterlambatan datang bulan haid beberapa hal yang dapat menjadi penyebab keluhan anda antara lain dispepsia gastritis infeksi kuman h pylori tukak lambung morning sickness hiperemesis gravidarum obstruksi atau hambatan pada saluran pencernaan efek samping obat obatan atau kontrasepsi keluhan mual biasanya menunjukan adanya gangguan pada saluran pencernaan seperti infeksi gangguan pada lambung ataupun karena perubahan hormon akibat kehamilan sebaiknya anda dapat berkonsultasi dengan dokter anda atau dokter spesialis penyakit dalam dokter memerlukan informasi lebih lengkap pemeriksaan fisik secara langsung ataupun pemeriksaan penunjang lainnya agar bisa membantu menjawab keluhan anda beberapa hal yang dapat anda lakukan untuk mengurangi keluhan anda mengkonsumsi makanan dengan porsi sedikit namun lebih sering menghindari makanan yang pedas asam berminyak atau mengandung kafein seperti kopi hindari makanan yang mengandung banyak gas seperti brokoli kubis kecambah susu ataupun kacang kacangan menghentikan kebiasaan merokok dan mengkonsumsi alkohol hindari stress yang berlebih anda juga dapat membaca artikel ini mengenai mual semoga informasi ini dapat bermanfaat untuk anda terima kasih,1,1,1,1,1,0
hai tiap orang memiliki jenis kulit yang berbeda beda ada yang tipe jenis kulitnya berminyak ada yang normal atau kombinasi dan ada juga jenis kulit yang kering perawatan tiap jenis kulit pun berbeda beda dan sebaiknya disesuaikan dengan jenis kulit begitu pun dengan produk wajah dan make up yang dipilih jenis kulit kering biasanya pada penggunaan make up akan sulit mengalami penempelan yang lama maka dari itu pada kulit jenis kering disarankan untuk gunakan pelembab kulit sebelumnya pilih produk kecantikan atau make up yang oil base disarankan pula yang menggunakan bahan minyak alami selain hal hal tersebut perlu diperhatikan hal berikut hindari cuci muka dengan air hangat akan membuat wajah lebih kering disarankan menggunakan air biasa saja gunakan pembersih wajah khusus untuk kulit kering gunakan pelembab sebelum ber make up atau sebelum tidur gunakan masker khusus untuk jenis kulit kering jangan terlalu sering mencuci wajah yang baik disarankan x sehari dan sebelum tidur jangan lupa bersihkan make up hindari produk kecantikan yang mengandung alkohol pengharum banyak minum air putih minimal l sehari perbanyak konsumsi sayur dan buah jangan menggosok bagian kulit yang kering atau mengelupas dapat menyebabkan iritasi hindari konsumsi vitamin a kondisi kulit yang sehat menunjang juga make up menempel lebih sempurna pada kulit selain asupan makan yang baik dan memenuhi kebutuhan nutrisi yang diperlukan tubuh cukup istirahat dan olahraga teratur pola hidup yang sehat dan pola makan yang sehat dan teratur mendukung kulit juga tampak sehat make up akan tahan lebih lama pada kondisi kulit yang sehat dan lembab jika kondisi kulit kering yang anda alami sangat parah sebaiknya anda memeriksakan diri ke dokter spesialis kulit untuk mendapatkan penanganan yang sesuai atau treatment yang dibutuhkan baca hal terkait kulit kering atasi kulit kering semoga bermanfaat terimakasih dr danny,1,0,1,0,1,0
hai michelachandra nyeri dada yang disertai dengan sesak nafas umumnya disebabkan oleh gangguan pada sistem pernafasan atau jantung keluhan sesak yang mengganggu proses bernafas memang dapat menyebabkan tubuh terasa lelah walaupun jarang masalah pada pencernaan dapat pula menyebabkan keluhan nyeri dada dan sesak nafas nyeri dada dapat pula timbul akibat gangguan pada jaringan penyusun dinding dada seperti tulang tulang rawan otot atau jaringan ikat berikut ini berbagai kemungkinan penyebab timbulnya nyeri dada ketegangan otot cedera otot tulang sekitar dada costochondritis peradangan tulang rawan iga penyakit asam lambung pleuritis peradangan selaput paru pneumonia radang paru paru emboli paru penyumbatan pembuluh darah paru gangguan jantung angin duduk serangan jantung dan sebagainya mengingat kemungkinannya beragam maka untuk dapat memastikan penyebab nyeri dada yang anda alami tentunya diperlukan pemeriksaan lebih lanjut bila keluhan terus berulang maka sebaiknya anda menemui dokter agar dapat diperiksa secara langsung baik melalui pemeriksaan fisik maupun tes penunjang jika diperlukan seperti x ray ekg atau ct scan dengan demikian penyebabnya dapat ditelusuri sehingga penanganan yang tepat dapat diberikan bagi anda sesuai dengan kondisi dasarnya berikut ini anjuran bagi anda beristirahat cukup dan kurangi kegiatan yang berat batasi aktivitas yang memerlukan kekuatan otot dada menarik mendorong mengangkat beban berolahraga sesuai dengan kemampuan tubuh makan secara teratur jangan terlambat makan hindari konsumsi makanan yang terlalu pedas berlemak asam atau menimbulkan gas jangan langsung berbaring setelah makan hindari konsumsi kafein alkohol atau rokok meminimalisir stres informasi berikut ini dapat berguna penyebab nyeri dada sering sesak nafas demikian semoga bermanfaat dr muliani sukiman,1,0,1,1,1,0
alo sylvia terimakasih atas pertanyaannya clomiphene citrate adalah obat yang bisa merangsang ovulasi pematangan dan pelepasan sel telur dari ovarium ke rahim karena kemampuannya dalam memicu produksi hormon gonadotropin di kelenjar hipofisis obat ini kerap dokter berikan pada wanita wanita yang bermasalah dengan kesuburan akibat gangguan ovulasi sayangnya obat ini tidak termasuk golongan obat bebas tidak semua wanita juga tepat untuk mengkonsumsi obat ini atas pertimbangan di atas tidak etis bila kami menjelaskan secara mendetail tatacara yang benar mengkonsumsi obat ini bila anda mendapat obat ini langsung dari dokter tentu dokter sudah memberi tahu anda tatacara konsumsinya yang benar bukan bila ternyata obat ini anda peroleh secara mandiri kami sarankan anda tidak dulu mengkonsumsinya sebelum periksa ke dokter atau dokter kandungan semoga membantu ya,1,0,1,0,1,0
hai febri kaki berbentuk seperti huruf x atau disebut genu valgum merupakan suatu kondisi yang sering diderita anak anak pada orang dewasa hal ini sering terjadi akibat trauma obesitas kurangnya nutrisi tertentu seperti vitamin d dan kalsium adanya peradangan sendi konsultasikan dengan dokter mengenai kondisi yang anda alami penanganan sendiri secara umum berupa obat penghilang nyeri memperbaiki penyebab seperti penurunan berat badan pada obesitas pemberian suplemen vitamin d atau kalsium serta dibantu dengan meningkatkan konsumsi makanan seperti susu keju telur ikan seperti salmon berjemur saat pagi usahakan untuk senantiasa menggerakkan kaki dapat membantu operasi dilakukan jika tidak membaik semoga bermanfaat dan terima kasih salam dr alyssa,1,0,1,1,1,0
alo olivia terima kasih sudah bertanya kembali berdasarkan asumsi bahwa anda sudah mendapatkan informasi awal yang cukup dari jawaban atas pertanyaan sebelumya maka jawaban singkat dari pertanyaan anda kali ini adalah bergantung kepada kondisi kulit anda bila anda yakin bahwa kopi dan madu yang anda gunakan adalah murni tanpa campuran bahan lain kualitasnya baik tidak kadaluarsa dan anda tidak mempunyai riwayat alergi terhadap kedua bahan tersebut maka anda bisa saja mencoba untuk rutin menggunakan masker tersebut hal yang harus anda perhatikan adalah apakah timbul efek alergi seperti ruam merah gatal bentol biduran atau lepuh saat dan setelah anda gunakan masker tersebut bila ya maka anda sebaiknya hentikan pemakaian karena anda mungkin mengalami alergi atau iritasi bila tidak maka sepenuhnya menjadi hak anda untuk meneruskan pemakaian masker harap anda ingat juga walaupun tujuan dari masker tersebut adalah untuk melembabkan kulit namun hasil yang tampak pada tiap orang tentunya akan berbeda dalam hal efektivitas maka sekali lagi saya sebutkan bahwa selama anda yakin akan bahan yang anda gunakan dan selama tidak timbul efek samping maka anda sah sah saja untuk memakai masker tersebut secara rutin demikian jawaban singkat dari kami salam,1,0,1,1,1,0
halo sri puspita terimakasih atas pertanyaan anda perlu anda ketahui menstruasi merupakan proses luruhnya lapisan terdalam dinding rahim endomentrium akibat sel telur yang tidak mendapat pembuahan atau dengan kata lain tidak terjadi kehamilan secara teoritis seorang wanita yang mengalami menstruasi tidak mungkin hamil namun anda harus bisa membedakan antara darah menstruasi dengan darah yang dikeluarkan pada awal masa kehamilan perdarahan vagina selama awal kehamilan bisa disebabkan oleh banyak penyebab baik yang ringan ataupun yang mengarah pada kondisi serius berikut beberapa di antaranya pendarahan implantasi terjadi pada hari setelah pembuahan tidak memerlukan penanganan khusus dan akan terhenti sendiri keguguran kematian janin secara spontan sebelum usia kehamilan minggu ancaman keguguran terdapat tanda tanda keguguran namun kehamilan dan janin masih bisa diselamatkan kelainan pada leher rahim serviks seperti infeksi servisitis kehamilan ektopik untuk memastikan telah terjadi kehamilan atau tidak anda bisa melakukan pemeriksaan mandiri dengan testpack yang dijual bebas di apotek bacalah aturan pemakaiannya dan ikuti anjuran sesuai yang diinstruksikan di kemasan bila hasil tes masih negatif maka lakukan pemeriksaan konfirmasi minggu kemudian atau dengan berkonsultasi ke dokter kandungan dokter akan memastikan kehamilan melalui pemeriksaan usg terakhir anda perlu mengetahui bahwa pergaulan bebas bisa mengakibatkan beberapa gangguan kesehatan antara lain penyebaran penyakit infeksi menular seksual berpotensi menimbulkan kanker mulut dan tenggorokan akibat seks oral dan kanker anus karena seks anal khusus wanita berpotensi mengalami kanker serviks untuk itu sebaiknya hindari hubungan seksual di luar pernikahan salam dr lili,1,0,1,1,1,0
hai tricia baby oil mengandung minyak mineral dan lanolin yang dicampurkan dengan bahan pewangi lanolin adalah sejenis lilin yang dihasilkan oleh kelenjar minyak domba dengan kandungannya ini baby oil bisa digunakan sebagai pelembab baik dalam mengobati ataupun mencegah kulit kering kasar bersisik gatal iritasi ringan dan kulit terbakar akibat terapi radiasi hingga saat ini belum terbukti penggunaan baby oil menyebabkan kulit menghitam baby oil tidak hanya bermanfaat bagi bayi dan anak anak pada orang dewasa pun minyak ini dapat digunakan sebagai mengatasi kulit kering sebaiknya baby oil dioleskan setelah mandi ketika kulit masih basah dan lembab mencegah eksim karena sebagian besar eksim diawali oleh kulit kering membantu mempertahankan kelembaban puting ibu menyusui dan meredakan keluhan terkait kulit puting yang retak sebagai bahan kosmetik demikian semoga bermanfaatdr lili,1,0,1,0,1,0
hai kiki patmawati terima kasih atas pertanyaannya di alodokter jenis sakit kepala ada bermacam macam antara lain migrain yaitu nyeri kepala berdenyut dan biasanya hanya satu sisi kepala cluster yaitu nyeri kepala berulang yang biasanya ditandai dengan mata berair tension yaitu nyeri kepala yang terasa seperti ada tali yang mengikat kencang atau tertimpa beban berat leher kaku bisa disebabkan oleh gangguan pada jaringan sekitar leher yaitu otot dan ligamen leher tulang dan sendi selain itu leher kaku juga biasanya merupakan keluhan yang sering dikeluhkan oleh penderita hipertensi leher kaku biasanya dapat hilang dengan sendirinya dalam waktu hari hingga minggu namun leher kaku dapat merupakan gejala yang serus bila kaku leher menetap sangat lama dan disertai dengan gejala lain seperti demam tinggi berat badan turun drastis ada gangguan fungsi saraf sulit bergerak buang air terus menerus kejang pembengkakan dan tanda peradangan lainnya bila mengalami ini sebaiknya segera ke dokter tenggorokan berdahak merupakan salah satu tanda dari adanya peradangan pada bagian tenggorokan bisa jadi dari naiknya asam lambung yang kemudian mengiritasi tenggorokan atau adanya infeksi mikroorganisme bakteri atau virus di tenggorokan untuk mengetahui diagnosis dan penyebab pasti sebaiknya konsultasikan ke dokter atau dokter spesialis saraf sekian semoga membantu,1,0,1,1,1,0
hai normalnya menstruasi tidak menyebabkan demam demam dapat menunjukkan tanda dari suatu infeksi misalnya karena infeksi virus bakteri atau parasit tertentu vaksinasi juga dapat menimbulkan efek samping seperti demam nyeri perut yang terjadi bisa saja berhubungan dengan menstruasi yang terjadi namun nyeri perut yang disertai demam juga dapat disebabkan oleh gastroenteritis karena infeksi virus atau bakteri tifus penyakit usus buntu divertikulitis yaitu radang pada kantong kantong di dinding saluran cerna infeksi saluran kemih penyakit radang panggul obat seperti parasetamol dapat diberikan untuk meredakan demam dan sakit perut yang timbul jika nyeri masih berlanjut disarankan agar anda periksa ke dokter pemeriksaan fisik dan tes penunjang seperti tes darah tes urin atau usg dapat membantu untuk mengetahui penyebab medis yang terjadi sehingga dapat segera diberikan penanganan yang tepat halaman berikut membahas sakit perut semoga bermanfaat dr jessica,1,0,1,1,1,0
alo terimakasih telah menggunakan layanan konsultasi alodokter celana dalam yang basah dibagian belakang tanpa kita sadari harus di evaluasi terlebih dahulu ada berbagai penyebab yang dapat memicu hal tersebut diantaranya karena keringat yang berlebihan di area genital kemaluan hingga penyebab medis seperti inkontinensia alvi atau ketidakmampuan dalam menahan buang air besar sehingga kotoran keluar dengan sendirinya baik sadar maupun tanpa disaring selain itu dapat juga disebabkan oleh obat obatan khususnya obat obatan yang dapat mengganggu metabolisme lemak didalam saluran pencernaan oleh sebab itu perlu evaluasi apakah terdapat ampas kotoran yang menempel didalam celana anda tidak perlu merasa khawatir bila kondisi tersebut tidak berlangsung terus menerus jika dicurigai mengalami gangguan dalam menahan buang air besar sebaiknya lakukan pemeriksaan ke dokter terdekat untuk mendapatkan evaluasi lebih lanjut demikian informasi yang dapat kami sampaikan semoga membantu,1,0,1,1,1,0
alo melly untuk menggabungkan pemakaian skincare apapun perlu diketahui dulu kandungan dalam skincare yang digunakan ada beberapa kandungan yang sebaiknya tidak digunakan bersamaan atau ditumpuk dalam skincare routine karena bisa meningkatkan resiko iritasi kulit atau bisa juga salah satu kandungan menjadi tidak efektif bekerja apa saja kandungan dalam essence dan krim dokter anda sulit untuk memastikan apakah essence anda bisa digunakan sebelum krim dokter atau tidak tanpa mengetahui kandungannya apa saja saya sarankan agar anda berkonsultasi kembali dengan dokter yang meresepkan krim tersebut karena dokter yang meresepkanlah yang lebih paham kandungan apa saja yang terdapat dalam krim anda konsultasi produk atau krim dapat anda lakukan via chat atau telepon dengan klinik atau dokter yang bersangkutan ya pada masa pandemi covid klinik kecantikan umumnya tutup atau pelayanan dibatasi namun biasanya konsultasi produk tetap bisa dilakukan via chat video call atau telepon semoga bisa membantu anda terimakasih,1,1,1,1,1,0
