processed_text,1-FR,2-GI,3-PI,4-DM,5-EDTRB,6-RE
halo susan sebaiknya kamu menghentikan pemakaian masker madu tersebut apa yang kamu alami sepertinya adalah suatu dermatitis kontak alergik yang mungkin terjadi akibat hipersensitivitas terhadap kandungan dalam madu tersebut beberapa hal lain yang perlu diperhatikan hentikan kontak terhadap alergen masker kenakan pelembab emolien anda dapat menggunakan obat obatan antihistamin seperti ctm cetirizin atau loratadin untuk mengurangi gejala tersebut jika gejala belum berkurang sebaiknya konsultasikan ke dokter dokter mungkin akan meresepkan obat obatan yang berisi campuran antihistamin dan kortikosteroid seperti deksametason betametason jangan menggaruk bagian yang gatal demikian yang dapat saya sampaikan semoga bermanfaat,1,0,1,1,1,0
selamat sore taufik terima kasih ya sudah bertanya di alodokter keluhan yang anda rasakan saat ini mungkin saja dapat disebabkan oleh beberapa hal seperti globus pharyngeus radang pada tenggorokkan faringitis radang disertai pembesaran pada amandel tonsilitis penyakit asam lambung reaksi alergi benda asing yang menyangkut pada tenggorokkan dan beberapa kemungkinan lainnya oleh karena kemungkinan penyebab yang cukup banyak tersebut sangat dianjurkan untuk anda memeriksakan keadaan tersebut kepada dokter untuk dilakukan evaluasi lebih lanjut dokter mungkin akan meminta anda untuk melakukan pemeriksaan tambahan seperti misalnya pemeriksaan darah endoskopi dan lain lain untuk membantu menentukan penyebab keluhan anda tersebut dan setelah ditentukan apa penyebabnya dokter baru akan menentukan pula obat obatan atau terapi lain yang sesuai untuk mengatasi keluhan anda mungkin pula dokter anda akan merujuk anda kepada dokter spesialis bidang tertentu untuk memastikan anda mendapatkan pengobatan yang optimal untuk sementara ini ada beberapa hal yang dapat anda coba lakukan seperti mengehentikan kebiasaan anda merokok mengonsumsi air minum dalam jumlah yang cukup setiap hari makan secara teratur dan tidak terlambat setiap hari hindari mengonsumsi makanan yang asam makanan pedas kopi alkohol dan juga minuman bersoda minimalisir terjadinya stres lakukan olahraga secara teratur cukup istirahat setiap hari usahakan untuk merilekskan diri dan juga pikiran anda hindari berbaring atau tidur segera setelah makan konsumsi hanya obat obatan yang dianjurkan oleh dokter jangan mengonsumsi mengganti atau memberhentikan obat tanpa anjuran dari dokter semoga membantu,1,0,1,1,1,0
terima kasih alexander deo sinaga atas pertanyaannya badan yang semakin kurus sebenarnya dapat disebabkan karena stress banyak pikiran asupan makan yang kurang penyakit tertentu misalnya tbc hipertiorid dan lain lain jika memang anda yakin tidak mengalami penyakit tertentu dan tidak stress maka anda perlu menjaga pola hidup sehat menjaga pola hidup sehat dapat dilakukan dengan cara mengkonsumsi makanan bergizi serta berolahraga teratur makanan bergizi bukan berarti makan berlebihan karena tubuh yang kurus bukan berarti terbebas dari penyakit diabetes kolesterol dan lainnya makan bergizi berarti anda perlu mengkonsumsi karbohidrat protein lemak vitamin mineral dan serat dalam jumlah yang seimbang anda juga dapat menambah asupan kalori anda dari makanan seperti roti gandum yoghurt susu dan lainnya berolahraga teratur juga penting terutama pembesaran massa otot baik yang anda lakukan sendiri push up pull up dan lainnya ataupun di pusat kebugaran dengan bertambahnya massa otot anda maka berat badan pun akan naik makanan dan minuman yang dapat membuat tetap fit seperti yang telah saya sebutkan bahwa makanan yang bergizi hindari penggunaan energy drink berlebihan anda dapat mengkonsumsi multivitamin sebagai suplemen tambahan untuk membantu menjaga daya tahan tubuh anda juga dapat membaca artikel terkait menambah berat badan demikian jawaban dari saya semoga membantu dr andika surya,1,0,1,1,1,0
alo terima kasih atas pertanyaannya di alodokter kondisi perut bengkak yang dialami dapat disebut juga sebagai asites beberapa kondisi medis yang dapat menyebabkan asites antara lain gangguan liver kanker gagal ginjal atau kelainan pada jantung asites terjadi akibat penumpukkan cairan pada ruang intra abdomen yang termanifestasi sebagai perut dan lingkar perut yang bertambah akibat penumpukkan cairan tersebut jika memang sudah dicurigai adanya penyakit liver perlu ditelaah lebih lanjut mengenai penyakit liver yang dimaksudkan perlu diketahui penyebab yang mendasari penyakit liver serta kondisi kerusakan yang sudah dialami oleh organ liver ada beberapa tahap dari penyakit liver yaitu fase inflamasi fase fibrosis fase sirosis hepatis dan kegagalan fungsi liver secara utuh beberapa kondisi medis terkait liver antara lain seperti hepatitis penyakit liver terkait alkohol penyakit perlemakan hati tidak berhubungan dengan alkohol penyakit liver terkait genetik keturunan kanker keganasan liver pengobatan yang optimal disesuaikan dengan hasil konsultasi dengan dokter dokter spesialis setelah dilakukan anamnesis pemeriksaan fisik dan pemeriksaan penunjang terkait kondisi liver yang dialami pengembalian fungsi jaringan hepar yang rusak tidak dapat dilakukan namun gejala asites dapat diperbaiki dan dikurangi dengan mengobati penyebab yang mendasari asites penyakit liver namun kondisi asites ini dapat terjadi kembali jika kondisi organ liver sudah mengalami kerusakan yang ekstensif semoga informasi ini dapat membantu anda salam,1,0,1,1,0,0
halo dzikri terimakasih atas pertanyaan anda gigi palsu yang merupakan gigi tiruan yang dapat dilepas pasang dimana umumnya terbuat dari bahan plastik atau logam pada dasarnya harus dirawat juga seperti gigi asli perawatan gigi palsu ditujukan agar tidak timbulnya bau mulut sariawan penyakit gusi kerusakan gigi dan infeksi mulut berikut ini beberapa tips merawat gigi palsu rendamlah gigi palsu jika sedang tidak dipasang bersihkan gigi palsu dengan menggunakan sikat gigi berbulu halus sikat dengan menggunakan sabun dan air hangat jangan membersihkan gigi palsu dengan menggunakan pasta gigi atau deterjen zat ini bersifat mengikis permukaan gigi palsu cuci gigi palsu di atas baskom berisi air agar menghindari gigi palsu lepas dari pegangan dan pecah demikian penjelasan yang dapat kami sampaikan semoga bermanfaat salam dr jati,1,0,1,0,1,0
hai agustian terimakasih telah bertanya ke alodokter ketidakpuasan dalam berhubungan intim memang bisa menimbulkan ketidaknyamanan bagi suatu pasangan tidak hanya menimbulkan nyeri kondisi ini bisa juga mempengaruhi keharmonisan dalam keluarga sulit mencapai orgasme puncak kenikmatan seksual bisa saja merupakan kondisi yang normal misalnya jika terjadi pada masa masa awal pernikahan akibat masih kurangnya pengetahuan terkait seksual seiring dengan meningkatnya frekuensi hubungan intim kualitas hubungan seksual pun umumnya akan semakin baik karena masing masing pasangan sudah mengetahui hal hal apa saja yang disukai oleh satu sama lain jika hingga berbulan bulan setelah menikah anda dan istri masih memiliki kendala terkait kepuasan dalam berhubungan seksual maka kemungkinan penyebabnya bisa karena tegang kurang rileks kurangnya pengetahuan seksual misalnya tentang titik titik kepuasan seksual pada pria dan wanita tekanan psikologis misalnya saat mengalami konflik dengan pasangan stres kecemasan yang berlebihan hubungan seksual yang dipaksakan kelelahan fisik perubahan hormonal misalnya menjelang menstruasi saat menstruasi saat hamil penyakit lain misalnya diabetes kelainan kelenjar tiroid dan sebagainya penggunaan pelumas seksual sebaiknya sangat dibatasi hanya jika langkah alami tidak berhasil anda lakukan penggunaan pelumas seksual yang tidak cocok pada sebagian orang dapat menyebabkan iritasi sehingga memicu rasa gatal perih atau panas di kemaluan sebagai langkah awal anda dan istri bisa mencoba tips berikut pelajari kesenangan pasangan anda masing masing eksplorasi titik titik kepuasan seksual pada pasangan anda misalnya di leher payudara perut sekitar kemaluan atau area lainnya lakukan foreplay yang cukup sebelum melakukan penetrasi memasukkan penis ke vagina lakukan liburan berdua jaga keharmonisan dengan pasangan istirahat yang cukup hindari stres dan kecemasan berlebihan konsumsi makanan bergizi seimbang dan kaya vitamin c olahraga teratur namun jika keluhan tidak membaik dengan tips di atas anda dan istri sebaiknya berkonsultasi langsung dengan seksolog untuk penanganan yang tepat ya semoga membantu dr nadia nurotul fuadah,1,0,1,1,1,0
alo dhani terimakasih atas pertanyaannya munculnya benjolan di kulup penis memang bisa terjadi salah satunya karena balanitis radang pada kepala penis balanitis terjadi ketika kepala penis terinfeksi tidak cuma karena jamur namun bisa juga karena virus atau bakteri infeksi ini bisa membuat penis membengkak hingga membentuk benjolan nyeri kemerahan gatal bahkan juga mengeluarkan cairan dan aroma yang tidak normal pria yang belum disunat jauh lebih berisiko mengalami kondisi ini tidak cuma balanitis bisa juga benjolan di kulup penis anda muncul karena faktor lain contohnya kutil kelamin molluscum contagiosum tumor jinak atau ganas folikulitis digigit serangga dermatitis kontak dan sebagainya benar langkah yang anda lakukan yakni dengan mengompres air hangat kulup penis yang benjol tersebut namun bukan itu saja anda pun perlu meningkatkan lagi kebersihan penis anda termasuk dengan tidak melakukan seks bebas ganti pakaian dalam minimal kali sehari dan selalu gunakan air bersih saat membersihkan penis seusai buang air selanjutnya anda tetap harus memeriksakan langsung kondisi anda ke dokter atau dokter kulit agar diberikan penanganan yang tepat tergantung penyebabnya kondisi anda nantinya bisa ditangani dokter dengan diberi obat dilakukan pembedahan atau juga modalitas terapi lainnya semoga membantu ya,1,0,1,1,1,0
selamat malam terima kasih telah bertanya di alodokter ada berbagai kandungan pada vape yang sejauh ini belum semuanya diteliti dengan interaksinya atau pengaruhnya dengan berbagai obat yang anda sebutkan namun dari berbagai kandungannya minimal vape memiliki nikotin dan nikotin mempengaruhi kerja haloperidol nikotin dapat membuat efek haloperidol tidak dapat diterima dengan baik oleh tubuh dan membuat pengobatan anda menjadi percuma dan tak berpengaruh untuk hubungan nikotin dengan kandungan generik dua obat lainnya memang sejauh ini belum ditemukan tapi belum ditemukan bukan berarti pasti tidak ada dan kalaupun memang tidak ada pun tidak ada jaminan kandungan lainnya pada vape dan kandungan lain dari obatnya tidak berinteraksi sehingga yang ingin kami sampaikan sebaiknya anda hindari menggunakan vape terlebih dahulu setidaknya hingga anda mengonsultasikan langsung dengan dokter anda ketika kontrol nanti sebab bagaimanapun walaupun anda tidak sedang mengonsumsi obat menggunakan vape juga bukan kebiasaan yang sehat dan tidak sebaiknya dilanjutkan sekian semoga menjawab pertanyaan anda,1,0,1,1,1,0
alo asima terimakasih atas pertanyaannya normalnya luka di perineum usai bersalin yang telah dijahit akan sembuh dalam minggu tanpa menyisakan komplikasi yang berbahaya benang yang sering digunakan dalam proses menjahit luka di perineum usai bersalin pun seringnya yang bisa diserap langsung oleh tubuh absorbable sehingga tidak perlu dilakukan pelepasan jahitan secara manual terlepasnya jahitan anda di hari kelima usai bersalin sesungguhnya tidak selalu abnormal bisa jadi hal ini menandakan benang jahitan perineum anda sudah diserap dengan baik oleh tubuh sehingga perlahan luka di perineum anda pun akan berangsur sembuh karenanya bila dirasa tidak ada robekan jaringan yang luas bisa jadi memang tidak diperlukan penjahitan ulang adapun luka anda yang masih terasa nyeri dan mengeluarkan darah segar bila ringan saja intensitasnya tidak juga selalu berbahaya sebagai penanganan mandiri anda bisa lakukan dulu bersihkan organ intim dengan air hangat yang bersih jangan digosok berlebihan selalu gunakan pakaian dalam yang bersih dan longgar yang diganti setidaknya kali sehari jangan dulu berhubungan seks yang melibatkan penetrasi vagina perbanyak istirahat jangan terlalu banyak berjalan berlari naik turun tangga susui bayi anda asi sering sering banyak minum jangan gemar menahan buang air kecil makan variasi makanan bergizi terutama yang mengandung kaya protein vitamin dan mineral agar luka sembuh lebih cepat minum obat paracetamol bila nyeri di perineum anda amat mengganggu jika keluhan sudah membaik dengan upaya di atas tidak perlu lagi anda panik dan tidak perlu juga terburu memeriksakan diri ke dokter khawatirnya justru risiko anda tertular penyakit serius termasuk covid akan lebih besar akibat tindakan ini akan tetapi bila nyeri yang anda alami amat hebat dan bila perdarahan dari perineum anda sangatlah masif anda bisa periksakan langsung diri anda ke dokter atau dokter kandungan supaya ditangani lebih lanjut semoga membantu ya,1,0,1,1,1,0
halo e di ana terimakasih atas pertanyaan anda sekedar informasi untuk anda gonore atau orang awam sering menyebutnya sebagai penyakit kencing nanah merupakan penyakit menular seksual yang disebabkan oleh bakteri jika anda berhubungan seksual dengan suami anda tanpa menggunakan kondom maka anda dapat terkena gonore beberapa penderita penyakit ini tidak menunjukkan gejala apapun sehingga bisa tidak diketahui sama sekali jika dirinya terinfeksi berikut ini beberapa gejala gonore pada wanita diantaranya adalah cairan vagina yang encer dan berwarna kuning atau hijau sering buang air kecil rasa sakit pada perut bagian bawah pada saat berhubungan seksual atau setelahnya terasa sakit saat buang air kecil gatal di sekitar kelamin dan lain sebagainya untuk mendiagnosis agar dapat dipastikan apakah anda terinfeksi gonore adalah dengan melakukan pemeriksaan cairan vagina oleh karena itu kami sangat menyarankan segeralah menemui dokter spesialis penyakit kulit dan kelamin dan mendiskusikan masalah ini agar anda dapat dilakukan serangkaian pemeriksaan lebih lanjut sehingga penanganan yang tepat akhirnya dapat diberikan infeksi gonore dapat diobati dengan penggunaan antibiotik dan sangatlah penting untuk minum obat antibiotik sesuai dosis dan jangka waktu yang dianjurkan agar infeksi benar benar lenyap jika tidak ditangani dengan baik gonore dapat menyebabkan kemandulan klik artikel di bawah ini yang sesuai dengan pertanyaan anda gonore demikian penjelasan yang dapat kami sampaikan semoga bermanfaat salam dr jati,1,0,1,1,1,0
