processed_text,1-FR,2-GI,3-PI,4-DM,5-EDTRB,6-RE
hai intanadanya benjolan sebesar kacang pada leher kiri dan kanan bisa disebabkan oleh pembengkakan dari kelenjar getah bening leher pada keadaan normal kelenjar getah bening dapat teraba teraba kenyal tidak nyeri mudah digerakan dan berukuran tidak lebih dari cm namun bisa juga disebabkan oleh kondisi lain seperti infeksi autoimun kanker obat obatan dan sebab lain yang tidak diketahui pembengkakan kelenjar getah bening kadang dapat hilang dengan sendirinya dalam beberapa bulan untuk mengetahui pasti penyebab dari pembesaran kelenjar getah bening diperlukan suatu pemeriksaan biopsi dimana dilakukan pengambilan sebagian kelenjar untuk dilihat dibawah mikroskop karena sudah berlangsung cukup lama sebaiknya anda ke dokter untuk dilakukan pemeriksaan langsung mengenai pembengkakan kelenjar getah bening dapat anda baca pada artikel dibawah ini pembengkakan kelenjar getah bening semoga membantu ya terima kasih dr yan william,1,0,1,1,1,0
alo ari nurjanah cedera pada bagian kepala tidak boleh dianggap remeh terutama jika sehabis cedera mengalami gejala seperti pingsan hilang ingatan sesaat kejadian muntah muntah sakit kepala hebat dan gangguan pada pandangan pengelihatan keluarnya darah dari mata hidung mulut maupun telinga selain itu cedera yang lokasinya dekat dengan area mata memiliki kemungkinan menyebabkan gangguan pada mata seperti misalnya pecahnya pembuluh darah ataupun kerusakan jaringan dari mata itu sendiri tidak dijelaskan secara rinci apakah warna keunguan tersebut terbatas pada kulit wajah di area sekitar mata ataukah justru warna keunguan tersebut terjadi pada bola mata itu sendiri warna keunguan pada permukaan kulit memberikan kesan adanya memar sebagai penanda adanya kerusakan pembuluh darah memar juga disertai dengan pembengkakan rasa nyeri dan rasa hangat pada bagian yang mengalami peradangan pada umumnya memar akan berangsung menghilang dengan sendirinya namun ada juga kondisi dimana kerusakan yang terjadi tidak hanya terbatas bagian kulit saja namun mengenai beagian yang lebih dalam lagi seperti misalnya kerusakan struktur tulang ataupun robekan otot misalnya sehingga proses pemulihan bisa jadi lebih sulit dan bahkan mungkin perlu mendapatkan penanganan medis namun apabila warna keungunan terjadi justru pada bola mata maka sebaiknya ari segera memeriksakan diri ke dokter mata untuk memastikan bahwa mata dan sistem pengelihatan tidak akan mengalami gangguan akibat cedera tersebut beberapa hal yang bisa ari coba lakukan adalah melakukan kompres dengan air dingin pada bagian yang bengkak dan memar untuk mengurangi bengkak dan nyerinya namun apabila cedera tersebut sudah berlangsung lebih dari hari maka gunakanlah kompres air hangat konsumsi maknaan yang tinggi protein seperti ikan telur tempe tahu dan ayam protein sangat baik untuk membantu memperbaiki jaringan tubuh yang rusak dan jangan menekan nekan bagian yang sedang sakit karena justru memicu peradangan baru artikel terkait untuk disimak pertolongan pertama pada kecelakaan sepeda motor semoga bermanfaat,1,0,1,1,1,0
halo hellas cacar air merupakan suatu penyakit yang disebabkan oleh virus varisela penyakit ini biasanya menyerang anak anak dibawah umur tahun dengan gejala sebagai berikut timbulnya ruam kemerahan pada tubuh demam pegal pegal sakit kepala kelelahan biasanya tidak diperlukan penanganan khusus pada kasus ini dikarenakan virus ini akan hilang dengan sendirinya biasanya dapat memakan waktu hari obat obatan yang biasa dipakai adalah obat penurun panas seperti paracetamol atau iburofen dokter juga dapat memberikan obat antivirus seperti acyclovir untuk mempercepat kesembuhan namun acyclovir bukan merupakan obat bebas sehingga diperlukan resep dari dokter untuk mendapatkannya berikut hal hal yang dapat dilakukan minum obat penurun panas istirahat yang cukup minum air putih yang cukup agar terhindar dari dehidrasi berolahraga secara teratur mengkonsumsi makanan yang sehat dan bergizi untuk menjaga daya tahan tubuh untuk mengetahui lebih lanjut mengenai cacar air silahkan baca artikel berikut cacar air semoga bermanfaat dr nugraha mauluddin,1,0,1,1,1,0
halo kelenjar bartholin adalah kelenjar yang terletak di kedua sisi vulva tepatnya di labia minora dan berfungsi menghasilkan pelumas saat hubungan seksual kelenjar ini termasuk yang sering mengalami masalah pada wanita seringkali ada hambatan aliran keluar dan membentuk kantung berisi cairan yang disebut kista bartholin jika terinfeksi disebut bartholinitis dan jika ada mengumpulan nanah disebut abses bartholin selain pemberian antibiotika tindakan bedah umumnya diperlukan apda kasus ini karena antibiotika saja umumnya tidak dapat menyembuhkan gangguan ini penanganan awal adalah dengan insisi drainase kista surgical drainage alternatifnya adalah dengan word catheter jika dilakukan dengan baik dan benar sebenarnya prognosis ramalan penyakitnya baik akan tetapi perlu menjadi perhatian bahwa meski dilakukan dengan baik pada pasien akan mengalami rekurensi sehingga rekurensi kekambuhan merupakan komplikasi yang memang paling sering terjadi dan inilah yang saya kira ibu alami pada kondisi seperti ini maka perlu dilakukan tindakan berupa marsupialisasi biasanya dicadangkan pada kasus yang rekuren kambuhan seperti insisi drainase biasa tetapi lebih luas wide eksisi kemudian rongga akan dijahit dan dilekatkan dengan dingding kanan kirinya untuk menutup rongga potensial dan mencegah kekambuhan eksisi jadi kelenjar diangkat dan jaringan sekitarnya juga lebih radikal dari marsupialisasi kedua prosedur diatas harus dilakukan oleh dokter spesialis dan biasanya dilakukan di ruang operasi pada kondisi seperti ini sebaiknya ibu konsultasikan dengan dokter ibu dokter obsgyn untuk penanganan yang tepat marsupialisasi umumnya tidak se radikal eksisi dan patut dicoba jika memang memungkinkan selain itu pada marsupialisasi kelenjar tidak dibuang sedangkan pada eksisi kelenjar akan dibuang jika kelenjar dibuang tentu saja akan sembuh karena kelenjarnya tidak ada lagi efek potensialnya adalah kurangnya pelumas saat hubungan seksual bisa diatasi dengan mudah menggunakan pelumas buatan yang dapat dibeli dengan mudah di berbagai tempat gunakan yang berbahan dasat air jika berusia ugt tahun sebaiknya disertai biopsi dan pemeriksaan pa untuk menyingkirkan kemungkinan adanya kanker keganasan pada kelenjar ini paska tindakan selain obat yang diberikan dan perawatan luka perlu dilakukan sitz bath merendam selangkanagan dalam baskom berisi air sabun hangat kali sehari menit untuk beberapa hari pertama paska tindakan kista bartholin bacaan lainuntuk bartholin cyst demikian yang dapat saya sampaikan semoga bermanfaat dr rico novyanto,1,0,1,1,1,0
halo kartokeluhan gelisah dan sesak menjelang tidur tidak khas untuk satu penyakit bisa saja keluhan tersebut disebabkan karena faktor psikis misalnya stres atau rasa cemas berlebihan stres psikis ini juga sering memicu keluhan lainnya salah satunya mual dan muntah keluhan keluhan tersebut akan menghilang jika anda mampu memanejemen stres dengan baik apabila keluhan tersebut menetap bahkan menganggu aktifitas sehari hari susah tidur dll maka sebaiknya anda segera menemui dokter guna pemeriksaan lebih lanjut mungkin saja pencetus keluhan anda adalah karena penyakit penyakit tertentu seperti gerd maag irritable bowel syndrome dll dokter nantinya akan melakukan pemeriksaan untuk mencari penyebab pasti keluhan penanganan terbaik akan disesuaikan dengan penyebab yang ditemukan obat obat penenang mungkin dapat diberikan jika ada indikasi yang ditemukan oleh dokter artikel berikut berkaitan dengan topik anda gangguan psikis semoga bermanfaatdr muhammad fadhil rahmadiansyah,1,0,1,1,1,0
halo susan sebaiknya kamu menghentikan pemakaian masker madu tersebut apa yang kamu alami sepertinya adalah suatu dermatitis kontak alergik yang mungkin terjadi akibat hipersensitivitas terhadap kandungan dalam madu tersebut beberapa hal lain yang perlu diperhatikan hentikan kontak terhadap alergen masker kenakan pelembab emolien anda dapat menggunakan obat obatan antihistamin seperti ctm cetirizin atau loratadin untuk mengurangi gejala tersebut jika gejala belum berkurang sebaiknya konsultasikan ke dokter dokter mungkin akan meresepkan obat obatan yang berisi campuran antihistamin dan kortikosteroid seperti deksametason betametason jangan menggaruk bagian yang gatal demikian yang dapat saya sampaikan semoga bermanfaat,1,0,1,1,1,0
hai tulang ekor berukuran relatif lebih kecil susah bab biasanya berhubungan dengan kurang konsumsi serat dan kurang minum air mineral sehingga tinja lebih keras dan menimbulkan nyeri saat bab pola makan tidak teratur sering mengabaikan keinginan bab gangguan pada usus seperti terjadi penyempitan penyumbatan kondisi psikologis misalnya stres atau lingkungan kamar mandi yang tidak nyaman konsumsi obat suplemen tertentu contohnya suplemen zat besi atau kalsium anda dapat membaca halaman penyebab konstipasi untuk mengetahui kondisi lebih lanjut dari tulang ekor sebaiknya anda periksa ke dokter sehingga dapat dilakukan pemeriksaan fisik serta tes penunjang seperti sinar x usahakan untuk konsumsi tinggi serat seperti sayur dan buah perbanyak minum air mineral tidak mengejan berlebihan saat bab dan tidak mengabaikan keinginaan untuk bab batasi kafein alkohol serta menghindari stres halaman berikut membahas pencegahan konstipasi semoga bermanfaat dr jessica winoto,1,0,1,1,1,0
halo obat pemutih yang beredar dipasaran sebaiknya dicermati dengan baik beberapa pedoman yang bisa anda jadikan acuan untuk pemilihan obat bebas antara lain adalah terdaftar bpom negara setempat dalam hal ini jika beredar di indonesia maka memerlukan surat bpom yang bisa anda cek melalui website bpom jangan termakan bujukan bukti standar fda segel rapi ada masa berlaku memiliki call center yang jelas dan bisa dihubungi obat gluta yang anda sebut belum memiliki standar penelitian medis yang cukup untuk memastikan keefektifan dari produk tersebut sehingga keamanannya juga belum bisa dipastikan secara medis baca topik suplemen pemutih semoga membantu dr yusi,1,0,1,1,1,0
alo terimakasih atas pertanyaannya benar penggunaan dot di usia yang terlalu dini kurang dari bulan memang berisiko tinggi membuat bayi mengalami bingung puting sehingga malas untuk menyusu langsung dari payudara hal ini disebabkan saat menyusu dengan dot bayi bisa dengan mudah mendapatkan susu akibat pengaruh gravitasi sehingga ia tidak perlu susah susah menghisap sebagaimana saat menyusu dari payudara bisa juga selain karena bingung puting kondisi bayi anda yang sulit menyusu langsung dbf disebabkan oleh rasa tidak nyaman di mulutnya seperti karena sariawan akan tumbuh gigi infeksi jamur gangguan pencernaan seperti karena gastroenteritis radang usus hernia hiatus atau juga kondisi medis lainnya baiknya jika keluhan bayi anda terjadinya baru beberapa hari terakhir tanpa ada keluhan lain yang menyertai seperti demam lemas mual muntah diare dan sebagainya maka anda lakukan dulu penanganan mandiri di rumah yakni dengan usahakan susui bayi anda asi langsung dari payudara sering sering susui bayi anda setiap jam sekali jangan menunggu ia terlalu haus agar tidak mudah marah saat asi anda tidak langsung keluar jika berhalangan menyusui bayi langsung jangan gunakan dot melainkan gunakan media lain yang tepat seperti cupfeeder pipet sendok jangan juga gunakan empeng untuk menenangkan bayi sering sering berinteraksi dengan bayi anda ajak ia bicara agar kembali mau menyusu langsung ke payudara anda tingkatkan kedekatan emosional anda dengan bayi anda jika bayi rewel atau menangis berlebihan saat tidak mau disusui langsung ke payudara jangan panik tetaplah tenang dan perbaiki perlekatan menyusui bayi supaya ia merasa lebih nyaman perbanyak produksi asi anda yakni dengan banyak minum makan makanan bergizi seimbang terutama jenis kacang kacangan dan jangan stres jika dengan upaya di atas kondisi bayi anda belum membaik juga anda bisa periksa langsung ke dokter atau konselor laktasi terdekat agar dicarikan solusi yang terbaik ya semoga membantu,1,0,1,1,1,0
hai guus benjolan pada leher anak dapat disebabkan oleh adanya infeksi baik infeksi bakteri seperti impetigo atau infeksi virus adanya infeksi di kelenjar getah bening sekitar leher limfadenitis atau akibat infeksi tb terutama jika anggota keluarga memiliki penyakit tersebut adanya alergi seperti eksim atopik urtikaria dermatitis kontak adanya kista kantong berisi cairan seperti ateroma abses konsultasikan dengan dokter terutama dokter anak mengenai kondisi yang anak anda alami pemeriksaan fisik dapat membantu menilai penyebab menjaga higienitas anak menghindari paparan terhadap bahan bahan yang dapat mengiritasi anak dapat membantu mengurangi kemungkinan infeksi dan alergi konsultasikan segera terutama jika ada demam malas menyusu semoga bermanfaat dan terima kasih salam dr alyssa,1,0,1,1,1,0
